I,T,R,E,A,DE,DA,H,M
9 ,1 ,S,2 ,13 ,5 ,"3,794 ","8,167 ",477 
9 ,1 ,S,14 ,12 ,7 ,"4,700 ","9,022 ",0 
9 ,2 ,S,13 ,15 ,5 ,"3,046 ","10,034 ","3,022 "
9 ,2 ,D,15 ,5 ,8 ,"6,198 ",693 ,"1,789 "
9 ,2 ,S,11 ,14 ,5 ,"2,972 ","9,373 ",293 
9 ,2 ,T,20 ,7 ,3 ,"8,400 ",0 ,"7,131 "
9 ,2 ,D,14 ,0 ,5 ,"5,605 ",0 ,0 
10 ,1 ,T,13 ,2 ,12 ,"7,902 ",0 ,"14,402 "
10 ,1 ,D,17 ,4 ,7 ,"10,475 ",186 ,"6,204 "
10 ,1 ,D,12 ,0 ,9 ,"8,980 ",766 ,52 
10 ,1 ,S,5 ,5 ,10 ,"3,351 ","6,550 ",0 
10 ,1 ,S,0 ,15 ,7 ,690 ,"10,555 ",0 
10 ,2 ,D,30 ,0 ,3 ,"12,044 ",544 ,8 
10 ,2 ,S,19 ,23 ,2 ,"3,177 ","9,449 ",767 
10 ,2 ,T,29 ,4 ,6 ,"9,277 ",0 ,"9,718 "
10 ,2 ,D,23 ,0 ,7 ,"8,676 ","1,898 ",0 
10 ,2 ,S,1 ,30 ,5 ,20 ,"10,829 ",0 
11 ,1 ,T,24 ,4 ,6 ,"13,430 ",0 ,"7,079 "
11 ,1 ,D,15 ,5 ,5 ,"8,725 ",0 ,"3,269 "
11 ,1 ,D,15 ,0 ,8 ,"8,649 ",0 ,415 
11 ,1 ,S,11 ,20 ,7 ,"2,153 ","8,936 ","1,045 "
11 ,1 ,S,12 ,18 ,8 ,"4,428 ","10,662 ",358 
11 ,2 ,D,16 ,0 ,7 ,"6,362 ","1,283 ",0 
11 ,2 ,S,3 ,14 ,5 ,"1,158 ","12,160 ",772 
11 ,2 ,S,0 ,22 ,3 ,611 ,"13,061 ",0 
11 ,2 ,T,16 ,7 ,6 ,"11,696 ",0 ,"9,012 "
11 ,2 ,D,20 ,0 ,8 ,"10,882 ",0 ,212 
12 ,1 ,T,1 ,1 ,5 ,"4,073 ",0 ,"3,901 "
12 ,1 ,D,1 ,1 ,1 ,"3,326 ",0 ,885 
12 ,1 ,D,2 ,0 ,9 ,"2,878 ",603 ,120 
12 ,1 ,S,2 ,0 ,5 ,966 ,"4,539 ",0 
