I,T,R,E,A,DE,DA,H,M
22,1,1,32,2,14,14863,2941,45
22,1,2,16,18,10,4197,10484,119
23,0,0,11,7,6,7379,157,6190
23,0,1,22,7,1,7619,5,1922
23,0,1,22,11,4,6604,706,1361
23,0,2,18,6,4,4829,5477,0
23,0,2,10,16,2,2455,6568,318
23,1,2,6,10,9,2243,9700,493
23,1,2,6,5,6,1899,7293,182
23,1,0,10,2,5,7277,0,9670
23,1,1,8,2,8,4864,342,0
23,1,1,10,0,5,7065,1193,0
24,0,0,27,3,10,11109,0,11994
24,0,1,26,7,6,9835,6,4499
24,0,1,28,7,8,13849,1503,4030
24,0,2,24,22,9,5570,9992,66
24,0,2,16,18,5,4582,14919,1763
24,1,2,9,15,11,4823,8336,521
24,1,0,20,9,11,14693,2225,5933
24,1,2,9,18,9,3720,12933,1017
24,1,1,19,1,1,10505,1164,118
24,1,1,19,2,12,10003,0,261
25,0,0,10,3,3,3627,0,2238
25,0,1,14,1,1,4571,7,757
25,0,1,15,6,1,3944,544,977
25,0,2,15,8,1,3757,4062,145
25,0,2,0,14,2,20,6014,0
25,1,2,0,4,3,730,5350,0
25,1,2,3,5,5,1765,3612,0
25,1,0,4,0,5,3593,0,5650
25,1,1,5,0,6,4366,0,0
25,1,1,4,0,6,3456,173,1219
26,0,0,25,5,2,12816,0,6632
26,0,1,31,0,3,13003,948,81
26,0,1,29,12,4,9138,28,3336
26,0,2,17,17,4,5363,8248,116
26,0,2,18,19,7,6328,10386,0
26,1,2,3,8,7,2853,9695,0
26,1,1,9,2,9,8082,1647,2044
26,1,1,10,1,12,6883,909,755
26,1,0,7,1,10,7220,1214,12393
26,1,2,8,7,7,3157,12899,1860
27,0,0,16,4,2,5160,0,7959
27,0,1,15,2,1,7492,38,2612
27,0,1,21,0,2,10337,0,1358
27,0,2,13,16,2,3825,5433,0
27,0,2,4,10,4,1444,6184,35
27,1,1,9,0,7,5533,16,798
27,1,2,1,5,4,920,7456,279
27,1,1,6,0,4,9708,0,339
27,1,0,3,1,6,3339,0,5576
27,1,2,1,5,7,1759,9993,318
28,0,0,16,4,4,6470,0,8250
28,0,1,21,7,1,6930,2,2480
28,0,1,27,1,8,9207,0,0
28,0,2,17,15,4,3171,6086,380
28,0,2,15,24,1,4701,8564,0
28,1,2,3,10,5,3986,8774,0
28,1,1,9,0,9,7111,1738,0
28,1,2,7,7,5,2585,5419,309
28,1,0,5,0,7,2639,0,25674
28,1,1,12,0,13,6160,0,1357
29,0,0,31,9,15,11754,0,6719
29,0,1,27,9,3,8816,0,1239
29,0,1,38,0,9,16001,0,0
29,0,2,20,14,7,5148,4721,299
29,0,2,2,35,6,250,10566,0
29,1,1,25,5,11,9297,1673,35
29,1,1,26,0,8,9901,0,797
29,1,0,12,5,13,6225,0,5557
29,1,2,1,16,10,1170,14089,0
29,1,2,21,9,10,5311,9183,146
30,0,0,27,4,6,8449,0,6222
30,0,1,26,1,7,8124,1240,0
30,0,1,18,0,10,6431,0,1868
30,0,2,4,8,9,1226,4769,67
30,0,2,11,25,6,3157,7583,3348
30,1,1,14,4,10,5156,1312,0
30,1,2,8,10,8,1939,7623,325
30,1,1,17,4,11,7769,0,0
30,1,2,14,9,8,4981,5522,0
30,,,,,,,,
31,0,0,15,3,7,10132,0,6820
31,0,1,22,1,8,12594,2211,0
31,0,1,20,0,13,9621,0,1595
31,0,2,17,15,9,5325,8578,3786
31,0,2,16,16,11,4532,9758,222
31,1,2,22,18,6,6282,9580,297
31,1,0,28,2,5,10247,7401,1035
31,1,1,22,8,10,11258,0,0
31,1,1,20,3,12,6314,57,260
31,1,2,9,14,8,1994,11829,739
32,0,0,36,7,13,16104,515,15226
32,0,1,32,1,21,17114,75,756
32,0,1,34,1,14,21006,1906,0
32,0,2,8,18,12,2597,17328,1003
32,0,2,17,27,10,7778,14436,7778
32,1,1,29,3,19,13352,1491,0
32,1,2,33,36,9,8695,18619,328
32,1,2,15,24,9,2783,19208,228
32,1,0,41,17,7,15178,0,15512
32,1,1,37,1,16,18695,1582,185
33,0,0,10,3,0,6948,0,10687
33,0,1,9,0,5,3476,0,70
