INDEX_1,INDEX_2,TEAM,ROLE,E,A,D,DMG,H,MIT
6,6,2,DAMAGE,32,3,13,15292,622,1120
6,7,2,DAMAGE,38,4,12,15901,364,0
6,8,2,TANK,28,5,12,13258,0,28037
6,9,2,SUPPORT,23,32,9,6582,15769,4161
6,10,2,SUPPORT,24,25,9,5125,15469,1229
7,1,1,TANK,11,3,10,7553,0,7788
7,2,1,DAMAGE,17,1,7,7305,0,0
7,3,1,DAMAGE,17,0,11,8286,290,0
7,4,1,SUPPORT,3,15,9,525,9840,0
7,5,1,SUPPORT,14,11,6,4481,6126,579
7,6,2,TANK,18,8,9,7803,0,5778
7,7,2,SUPPORT,13,16,5,2706,7427,537
7,8,2,DAMAGE,31,1,8,9026,1200,127
7,9,2,DAMAGE,29,15,4,8568,1515,0
7,10,2,SUPPORT,15,19,2,3094,7455,155
8,1,1,TANK,21,3,8,14428,225,9731
8,2,1,DAMAGE,32,12,9,11759,33,4656
8,3,1,DAMAGE,24,6,10,14677,995,354
8,4,1,SUPPORT,20,20,8,7031,13027,0
8,5,1,SUPPORT,16,20,10,4694,10602,512
8,6,2,DAMAGE,30,2,14,15915,0,2128
8,7,2,DAMAGE,25,0,11,14375,1816,318
8,8,2,TANK,14,6,12,10895,0,10481
8,9,2,SUPPORT,7,19,7,1877,15257,184
8,10,2,SUPPORT,6,21,4,2015,13420,0
9,1,1,TANK,9,1,7,4892,0,14978
9,2,1,DAMAGE,14,5,2,8075,14,3358
9,3,1,DAMAGE,15,0,3,11799,0,1556
9,4,1,SUPPORT,2,13,5,3794,8167,477
9,5,1,SUPPORT,14,12,7,4700,9022,0
9,6,2,SUPPORT,13,15,5,3046,10034,3022
9,7,2,DAMAGE,15,5,8,6198,693,1789
9,8,2,SUPPORT,11,14,5,2972,9373,293
9,9,2,TANK,20,7,3,8400,0,7131
9,10,2,DAMAGE,14,0,5,5605,0,0
10,1,1,TANK,13,2,12,7902,0,14402
10,2,1,DAMAGE,17,4,7,10475,186,6204
10,3,1,DAMAGE,12,0,9,8980,766,52
10,4,1,SUPPORT,5,5,10,3351,6550,0
10,5,1,SUPPORT,0,15,7,690,10555,0
10,6,2,DAMAGE,30,0,3,12044,544,8
10,7,2,SUPPORT,19,23,2,3177,9449,767
10,8,2,TANK,29,4,6,9277,0,9718
