INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT
14,2,TANK,14,0,8,7321,0,9818
14,2,SUPPORT,5,10,9,3105,11463,261
14,2,DAMAGE,17,0,7,6721,985,1045
14,2,SUPPORT,11,13,4,2631,12686,624
15,1,TANK,22,4,6,11345,0,8313
15,1,DAMAGE,24,7,1,9595,0,2750
15,1,DAMAGE,24,0,9,13235,852,445
15,1,SUPPORT,24,21,6,5007,9604,163
15,1,SUPPORT,14,17,5,2585,13057,599
15,2,TANK,15,1,13,8895,0,7164
15,2,SUPPORT,1,15,8,1703,10138,178
15,2,SUPPORT,5,14,4,2553,14656,0
15,2,DAMAGE,14,1,10,9021,264,0
15,2,DAMAGE,17,2,8,13526,0,317
16,1,TANK,29,6,5,11517,0,19790
16,1,DAMAGE,20,5,4,11015,54,5204
16,1,DAMAGE,20,2,9,11534,1943,1643
16,1,SUPPORT,12,18,10,2947,12151,1068
16,1,SUPPORT,19,8,5,3856,13975,0
16,2,DAMAGE,25,4,9,16403,280,0
16,2,SUPPORT,4,18,8,2339,11861,0
16,2,DAMAGE,10,2,8,7995,659,1788
16,2,SUPPORT,2,22,10,1320,13641,600
16,2,TANK,18,2,8,12657,44,12358
17,1,TANK,30,5,4,11871,0,10471
17,1,DAMAGE,39,5,8,12613,0,0
17,1,DAMAGE,33,8,6,14499,460,4152
17,1,SUPPORT,21,19,6,5420,11119,344
17,1,SUPPORT,5,17,4,1481,14368,557
17,2,DAMAGE,12,3,14,10517,0,0
17,2,DAMAGE,9,0,16,5457,0,1875
17,2,SUPPORT,15,5,13,9954,8944,0
17,2,TANK,17,3,11,12784,195,15721
17,2,SUPPORT,1,14,6,551,13645,316
18,1,TANK,7,3,2,3185,0,3030
18,1,DAMAGE,14,1,0,5569,0,0
18,1,DAMAGE,14,7,1,6556,0,0
18,1,SUPPORT,2,4,3,540,2978,337
18,1,SUPPORT,7,4,2,2280,5910,0
18,2,TANK,4,1,5,3528,0,7947
18,2,SUPPORT,1,2,2,857,5782,0
18,2,SUPPORT,4,4,3,1145,5244,309
18,2,DAMAGE,4,0,6,3452,0,0
18,2,DAMAGE,3,0,4,2978,27,1102
19,1,TANK,17,6,8,8526,0,8800
19,1,DAMAGE,19,0,3,10138,0,0
19,1,DAMAGE,24,1,6,8660,326,1510
19,1,SUPPORT,8,18,5,4128,7478,269
19,1,SUPPORT,9,12,6,3838,6590,34
19,2,SUPPORT,12,15,6,2411,9942,1888
19,2,DAMAGE,15,0,11,7569,0,556
19,2,TANK,14,5,7,7998,0,5282
19,2,SUPPORT,2,17,6,274,10334,186
19,2,DAMAGE,16,1,5,9029,1273,0
20,1,TANK,20,7,11,11812,0,6682
20,1,DAMAGE,33,8,4,15027,0,0
20,1,DAMAGE,28,0,12,12428,60,1813
20,1,SUPPORT,22,24,11,6798,12204,0
20,1,SUPPORT,17,22,6,6831,9120,644
20,2,DAMAGE,25,13,7,7000,594,0
20,2,TANK,26,12,7,10155,2960,7518
20,2,SUPPORT,3,26,7,758,19649,1127
20,2,DAMAGE,32,2,14,14863,2941,45
20,2,SUPPORT,16,18,10,4197,10484,119
21,1,TANK,17,8,3,7660,0,11582
21,1,DAMAGE,20,1,4,5252,0,0
21,1,DAMAGE,18,0,6,6595,1624,0
21,1,SUPPORT,9,11,3,3180,5473,652
21,1,SUPPORT,7,11,3,3154,6966,100
21,2,DAMAGE,8,0,6,5594,0,0
21,2,SUPPORT,1,11,5,957,7724,700
21,2,TANK,13,3,6,6614,0,7265
21,2,SUPPORT,11,6,6,3844,6222,0
21,2,DAMAGE,7,0,6,4033,829,0
22,1,TANK,28,3,5,7940,0,15980
22,1,DAMAGE,42,4,3,11812,0,0
22,1,DAMAGE,39,1,9,13424,0,0
22,1,SUPPORT,4,41,2,238,12649,0
22,1,SUPPORT,16,20,6,3094,7874,823
22,2,DAMAGE,7,0,15,7097,613,334
22,2,SUPPORT,4,9,13,2562,9777,2049
22,2,SUPPORT,7,6,10,2909,4585,554
22,2,DAMAGE,12,1,9,9205,146,758
22,2,TANK,11,0,9,8268,0,5443
23,1,TANK,11,7,6,7379,157,6190
23,1,DAMAGE,22,7,1,7619,5,1922
23,1,DAMAGE,22,11,4,6604,706,1361
23,1,SUPPORT,18,6,4,4829,5477,0
23,1,SUPPORT,10,16,2,2455,6568,318
23,2,SUPPORT,6,10,9,2243,9700,493
23,2,SUPPORT,6,5,6,1899,7293,182
23,2,TANK,10,2,5,7277,0,9670
23,2,DAMAGE,8,2,8,4864,342,0
23,2,DAMAGE,10,0,5,7065,1193,0
24,1,TANK,27,3,10,11109,0,11994
24,1,DAMAGE,26,7,6,9835,6,4499
24,1,DAMAGE,28,7,8,13849,1503,4030
24,1,SUPPORT,24,22,9,5570,9992,66
24,1,SUPPORT,16,18,5,4582,14919,1763
24,2,SUPPORT,9,15,11,4823,8336,521
24,2,TANK,20,9,11,14693,2225,5933
24,2,SUPPORT,9,18,9,3720,12933,1017
24,2,DAMAGE,19,1,1,10505,1164,118
24,2,DAMAGE,19,2,12,10003,0,261
25,1,TANK,10,3,3,3627,0,2238
25,1,DAMAGE,14,1,1,4571,7,757
25,1,DAMAGE,15,6,1,3944,544,977
25,1,SUPPORT,15,8,1,3757,4062,145
25,1,SUPPORT,0,14,2,20,6014,0
25,2,SUPPORT,0,4,3,730,5350,0
25,2,SUPPORT,3,5,5,1765,3612,0
25,2,TANK,4,0,5,3593,0,5650
25,2,DAMAGE,5,0,6,4366,0,0
25,2,DAMAGE,4,0,6,3456,173,1219
26,1,TANK,25,5,2,12816,0,6632
26,1,DAMAGE,31,0,3,13003,948,81
26,1,DAMAGE,29,12,4,9138,28,3336
26,1,SUPPORT,17,17,4,5363,8248,116
26,1,SUPPORT,18,19,7,6328,10386,0
26,2,SUPPORT,3,8,7,2853,9695,0
26,2,DAMAGE,9,2,9,8082,1647,2044
26,2,DAMAGE,10,1,12,6883,909,755
26,2,TANK,7,1,10,7220,1214,12393
26,2,SUPPORT,8,7,7,3157,12899,1860
