Q,I,T,Ro,E,A,D,Dm,H,M,Re
R,171,1,D,22,0,7,8259,0,798,De
R,171,1,D,17,3,9,7109,393,903,De
R,171,1,S,7,23,4,2410,8260,0,De
R,171,1,S,26,20,6,7408,7035,0,De
R,171,2,T,19,7,6,11523,419,6435,V
R,171,2,D,18,3,8,6748,0,84,V
R,171,2,D,19,0,7,7096,0,0,V
R,171,2,S,10,16,6,2380,7566,454,V
R,171,2,S,11,14,8,4057,7883,1961,V
R,172,1,T,5,3,5,7230,0,5495,De
R,172,1,D,8,1,9,4063,0,730,De
R,172,1,D,6,0,7,4188,0,0,De
R,172,1,S,5,3,4,1726,5389,47,De
R,172,1,S,2,2,7,1515,5492,304,De
R,172,2,T,16,3,2,7217,71,2672,V
R,172,2,D,15,1,2,6616,0,433,V
R,172,2,D,15,1,3,5552,0,1146,V
R,172,2,S,8,14,1,2696,4697,0,V
R,172,2,S,17,16,1,3673,5116,244,V
R,173,1,T,7,0,9,11260,843,11245,De
R,173,1,D,8,0,4,5451,0,0,De
R,173,1,D,8,0,10,6666,593,801,De
R,173,1,S,1,4,12,1248,8844,678,De
R,173,1,S,3,3,10,3973,6950,0,De
R,173,2,T,20,2,2,11746,0,16096,V
R,173,2,D,19,4,1,7752,184,84,V
R,173,2,D,27,2,5,13773,0,0,V
R,173,2,S,7,16,2,3192,8651,161,V
R,173,2,S,7,11,4,2108,11751,1103,V
R,174,1,T,11,3,5,5989,262,3050,De
R,174,1,D,8,0,9,8119,473,672,De
R,174,1,D,11,1,8,5433,340,0,De
R,174,1,S,6,8,5,3638,6053,568,De
R,174,1,S,2,10,6,2344,8615,0,De
R,174,2,T,21,6,3,9206,170,5554,V
R,174,2,D,22,4,2,9125,0,1349,V
R,174,2,D,24,0,2,7041,0,730,V
R,174,2,S,4,22,5,1377,9292,1766,V
R,174,2,S,10,17,6,3886,5245,74,V
R,175,1,T,9,0,8,8605,1745,6245,De
R,175,1,D,5,0,10,8730,968,0,De
R,175,1,D,11,3,8,8945,0,0,De
R,175,1,S,5,6,4,3525,5237,302,De
R,175,1,S,0,9,5,972,8236,0,De
R,175,2,T,21,5,2,8762,4458,8241,V
R,175,2,D,20,3,5,10438,0,543,V
R,175,2,D,13,1,5,8366,0,430,V
R,175,2,S,9,15,4,2617,7800,702,V
R,175,2,S,7,12,2,3336,9163,0,V
R,176,1,T,11,0,5,9188,134,10874,De
R,176,1,D,13,0,1,6973,0,0,De
R,176,1,D,11,2,12,7421,1667,696,De
R,176,1,S,6,8,5,2250,9554,1372,De
R,176,1,S,6,7,8,2693,6873,622,De
R,176,2,T,23,1,5,12432,0,13761,V
R,176,2,D,13,0,3,6413,0,0,V
R,176,2,D,13,0,9,7753,617,546,V
R,176,2,S,8,22,2,4947,9614,0,V
R,176,2,S,11,8,3,5329,5855,667,V
R,177,1,T,10,2,6,5111,0,2993,De
R,177,1,D,21,1,5,14040,0,382,De
R,177,1,D,11,4,11,6543,1197,2549,De
R,177,1,S,0,21,7,0,8634,0,De
R,177,1,S,9,10,7,2722,5116,538,De
R,177,2,T,24,11,4,10332,1804,2439,V
R,177,2,D,26,2,3,9222,0,78,V
R,177,2,D,20,1,10,7961,0,1635,V
R,177,2,S,0,31,2,0,6916,0,V
R,177,2,S,14,19,5,3384,6105,0,V
R,178,1,T,19,4,8,14801,1614,5944,De
R,178,1,D,24,1,8,9442,0,2133,De
R,178,1,D,16,0,6,12913,0,80,De
R,178,1,S,5,15,6,3581,9311,379,De
R,178,1,S,8,18,5,2188,10762,1509,De
R,178,2,T,20,5,7,11349,2071,6084,V
R,178,2,D,20,0,7,9620,0,2935,V
R,178,2,D,20,2,7,12140,0,61,V
R,178,2,S,8,19,7,5721,8380,0,V
R,178,2,S,8,19,5,2238,12626,595,V
R,179,1,T,11,2,1,6848,300,2664,De
R,179,1,D,7,2,6,7004,75,0,De
R,179,1,D,10,0,3,11582,292,117,De
R,179,1,S,2,7,6,1058,6903,0,De
R,179,1,S,2,8,3,2953,4823,573,De
R,179,2,T,14,1,0,7494,6029,1676,V
R,179,2,D,11,0,4,5626,0,0,V
R,179,2,D,11,3,6,3847,0,0,V
R,179,2,S,4,10,3,1990,9958,0,V
R,179,2,S,8,3,3,2926,5776,1027,V
R,180,1,T,29,9,10,18364,0,10925,De
R,180,1,D,29,4,11,14333,430,1867,De
R,180,1,D,29,1,15,16844,1410,238,De
R,180,1,S,14,22,3,4553,20121,189,De
R,180,1,S,14,28,9,7084,17720,0,De
R,180,2,T,25,6,14,15390,0,14524,V
R,180,2,D,34,6,13,17490,109,2575,V
R,180,2,D,29,1,7,16668,0,715,V
R,180,2,S,13,32,5,6464,16310,0,V
R,180,2,S,12,27,4,6963,17507,2272,V
R,181,1,T,22,2,7,10680,0,7040,De
R,181,1,D,21,0,5,7577,0,0,De
R,181,1,D,17,4,15,8090,427,83,De
R,181,1,S,10,15,6,5217,7745,0,De
R,181,1,S,1,18,8,580,11373,424,De
R,181,2,T,20,4,8,10102,0,4929,V
R,181,2,D,21,10,5,8218,1189,2391,V
R,181,2,D,24,2,5,8912,0,339,V
R,181,2,S,12,23,4,2592,8503,0,V
R,181,2,S,13,22,8,5816,5841,0,V
R,182,1,T,18,4,8,10669,0,8818,De
R,182,1,D,16,0,1,6083,0,0,De
R,182,1,D,16,0,9,7441,759,227,De
R,182,1,S,8,12,7,4822,8797,407,De
R,182,1,S,7,14,5,1879,10853,0,De
R,182,2,T,21,7,7,11409,1176,6690,V
R,182,2,D,18,1,2,8470,0,1696,V
R,182,2,D,15,1,6,8885,0,1157,V
R,182,2,S,12,10,5,4052,6848,623,V
R,182,2,S,16,17,6,4502,7022,895,V
R,183,1,T,12,1,9,10206,284,6581,De
R,183,1,D,25,1,10,14954,983,626,De
R,183,1,D,19,1,12,11063,0,236,De
R,183,1,S,21,22,7,5222,14902,37,De
R,183,1,S,8,20,6,3184,14733,804,De
R,183,2,T,24,8,7,20776,0,9156,V
R,183,2,D,16,1,9,8806,0,603,V
R,183,2,D,32,2,5,15632,0,0,V
R,183,2,S,14,19,7,4200,12777,1419,V
R,183,2,S,14,15,9,5457,13873,648,V
R,184,1,T,9,3,7,10461,0,8882,De
R,184,1,D,7,0,13,7298,1017,173,De
R,184,1,D,8,0,11,9896,0,276,De
R,184,1,S,7,4,8,4099,8648,694,De
R,184,1,S,2,6,8,2085,9252,0,De
R,184,2,T,28,3,3,15991,0,16039,V
R,184,2,D,25,2,4,11045,0,1953,V
R,184,2,D,20,1,3,10956,9,1826,V
R,184,2,S,14,24,2,3264,11752,1995,V
R,184,2,S,17,15,2,5025,8537,0,V
R,185,1,T,13,6,6,6510,330,5124,De
R,185,1,D,6,0,5,2933,0,0,De
R,185,1,D,6,2,6,6818,0,0,De
R,185,1,S,13,4,6,4921,7153,0,De
R,185,1,S,17,7,8,5252,6454,0,De
R,185,2,T,20,5,4,11739,0,5271,V
R,185,2,D,19,4,3,3995,491,0,V
R,185,2,D,18,1,7,8105,0,1465,V
R,185,2,S,12,8,5,3912,5013,0,V
R,185,2,S,5,10,4,1260,8365,539,V
R,186,1,T,15,4,4,8534,611,5023,De
R,186,1,D,20,1,11,12373,0,0,De
R,186,1,D,25,3,4,14722,0,0,De
R,186,1,S,13,10,9,4478,12598,32,De
R,186,1,S,8,14,8,3655,9235,1159,De
R,186,2,T,28,8,5,14425,0,7683,V
R,186,2,D,17,12,10,5502,728,0,V
R,186,2,D,19,0,9,12163,0,372,V
R,186,2,S,3,24,6,140,17082,0,V
R,186,2,S,18,7,7,7627,9045,266,V
R,187,1,T,9,3,11,7794,258,5171,De
R,187,1,D,8,1,9,7559,169,1165,De
R,187,1,D,10,0,3,8514,0,0,De
R,187,1,S,9,5,3,5171,7197,496,De
R,187,1,S,2,9,7,1357,7818,2504,De
R,187,2,T,21,2,4,11454,0,12042,V
R,187,2,D,15,3,4,9331,0,123,V
R,187,2,D,13,7,6,5413,74,0,V
R,187,2,S,11,18,2,2300,10692,846,V
R,187,2,S,22,18,2,5130,10163,0,V
R,188,1,T,15,1,8,8967,1500,4707,De
R,188,1,D,16,0,5,6248,0,0,De
R,188,1,D,15,0,11,8142,0,1704,De
R,188,1,S,10,15,7,3543,9414,463,De
R,188,1,S,5,14,11,1822,7078,0,De
R,188,2,T,27,2,5,11025,0,7330,V
R,188,2,D,27,15,2,7175,591,0,V
R,188,2,D,25,1,9,11633,1720,0,V
R,188,2,S,26,20,3,5239,11490,0,V
R,188,2,S,8,7,23,2100,2988,286,V
R,189,1,T,10,2,8,6566,106,2960,De
R,189,1,D,19,2,13,9347,0,744,De
R,189,1,D,16,1,14,8876,1222,93,De
R,189,1,S,10,13,12,4174,4727,81,De
R,189,1,S,13,9,14,5416,6054,0,De
R,189,2,T,41,2,7,13409,1110,6912,V
R,189,2,D,30,5,6,10459,0,1616,V
R,189,2,D,33,1,8,9189,0,315,V
R,189,2,S,15,22,4,2999,6442,438,V
R,189,2,S,1,39,3,20,11491,0,V
R,190,1,T,16,2,12,11272,338,8477,De
R,190,1,D,20,3,13,9634,0,871,De
R,190,1,D,17,3,12,9528,558,1033,De
R,190,1,S,10,12,4,4278,13796,492,De
R,190,1,S,11,13,9,4424,13279,5190,De
R,190,2,T,23,9,6,16211,403,9152,V
R,190,2,D,28,0,8,10155,0,987,V
R,190,2,D,27,3,5,12730,342,22,V
R,190,2,S,20,21,7,11005,11767,0,V
R,190,2,S,18,16,5,4381,10321,451,V
R,191,1,T,57,12,5,21727,0,18163,De
R,191,1,D,40,0,9,12356,0,0,De
R,191,1,D,56,1,13,29922,0,1538,De
R,191,1,S,0,62,9,40,19924,0,De
R,191,1,S,28,53,12,6409,19437,621,De
R,191,2,T,25,7,14,18589,0,15848,V
R,191,2,D,31,5,15,21510,728,471,V
R,191,2,D,23,1,18,18755,0,1303,V
R,191,2,S,9,16,17,3403,16737,360,V
R,191,2,S,11,20,17,5111,16263,392,V
R,192,1,T,18,5,4,7380,404,4427,De
R,192,1,D,17,1,7,9976,0,58,De
R,192,1,D,13,5,8,6039,57,0,De
R,192,1,S,8,6,6,3649,6482,510,De
R,192,1,S,10,17,3,4026,8520,0,De
R,192,2,T,22,5,4,9837,354,5394,V
R,192,2,D,17,0,6,10142,0,137,V
R,192,2,D,13,5,6,6140,0,575,V
R,192,2,S,1,22,4,1144,9204,651,V
R,192,2,S,6,14,6,1770,7319,0,V
R,193,1,T,6,1,6,4340,114,2131,De
R,193,1,D,7,1,3,6079,0,0,De
R,193,1,D,7,1,6,5803,843,200,De
R,193,1,S,5,8,2,2410,4726,93,De
R,193,1,S,8,8,5,2708,4430,0,De
R,193,2,T,13,1,2,7697,2431,6589,V
R,193,2,D,13,4,3,5157,0,0,V
R,193,2,D,9,0,6,3829,0,505,V
R,193,2,S,5,10,1,731,6955,281,V
R,193,2,S,11,11,3,3871,4074,0,V
R,194,1,T,3,1,5,4831,2024,716,De
R,194,1,D,3,0,1,3557,0,0,De
R,194,1,D,3,0,8,3600,0,420,De
R,194,1,S,1,1,4,1649,2374,27,De
R,194,1,S,1,3,3,60,5639,0,De
R,194,2,T,10,2,0,5865,0,5648,V
R,194,2,D,7,0,2,2879,0,0,V
R,194,2,D,19,0,0,8800,861,0,V
R,194,2,S,7,10,2,1742,4016,30,V
R,194,2,S,6,10,3,664,4630,260,V
R,195,1,T,2,0,3,4246,317,2565,De
R,195,1,D,5,1,8,4924,0,0,De
R,195,1,D,6,0,6,8302,0,0,De
R,195,1,S,5,2,5,1464,5617,0,De
R,195,1,S,4,2,6,1667,3545,225,De
R,195,2,T,10,2,2,3989,267,5532,V
R,195,2,D,14,4,3,8081,0,1397,V
R,195,2,D,21,0,3,8240,893,180,V
R,195,2,S,3,6,1,1305,6304,162,V
R,195,2,S,0,12,1,0,6763,0,V
R,196,1,T,19,4,4,13817,0,7678,De
R,196,1,D,22,6,11,13987,0,3094,De
R,196,1,D,22,1,11,15536,273,155,De
R,196,1,S,13,10,5,5215,7671,285,De
R,196,1,S,19,18,6,7539,10445,521,De
R,196,2,T,22,3,6,15923,353,12761,V
R,196,2,D,19,1,8,11496,0,1664,V
R,196,2,D,18,4,12,15731,1009,327,V
R,196,2,S,12,27,6,3606,17667,0,V
R,196,2,S,15,22,6,5515,15012,4811,V
R,197,1,T,1,0,4,5507,0,3022,De
R,197,1,D,1,0,4,2444,0,0,De
R,197,1,D,0,0,8,2555,92,217,De
R,197,1,S,0,0,6,563,4158,0,De
R,197,1,S,0,0,5,280,3845,772,De
R,197,2,T,15,1,0,6008,0,10125,V
R,197,2,D,8,0,0,4813,0,169,V
R,197,2,D,17,0,1,4019,0,0,V
R,197,2,S,3,14,0,332,4952,415,V
R,197,2,S,13,12,0,4459,3411,355,V
R,198,1,T,13,2,2,8554,445,4358,De
R,198,1,D,18,5,11,11322,210,793,De
R,198,1,D,17,2,11,9398,0,1581,De
R,198,1,S,8,9,7,3022,7681,238,De
R,198,1,S,9,13,10,4682,8684,4075,De
R,198,2,T,29,6,2,10850,0,3524,V
R,198,2,D,20,5,7,8894,444,1036,V
R,198,2,D,24,1,7,9954,0,1157,V
R,198,2,S,16,21,6,3517,7593,0,V
R,198,2,S,14,17,8,4553,6826,1389,V
R,199,1,T,3,2,6,5861,0,12854,De
R,199,1,D,9,0,7,5236,0,1510,De
R,199,1,D,8,0,7,6477,0,259,De
R,199,1,S,11,6,2,2557,6190,0,De
R,199,1,S,6,13,4,3884,5892,0,De
R,199,2,T,12,5,3,7015,0,5895,V
R,199,2,D,16,1,4,5067,0,1049,V
R,199,2,D,15,2,3,7325,0,606,V
R,199,2,S,11,16,2,2174,6983,77,V
R,199,2,S,12,15,1,3025,7578,801,V
R,200,1,T,9,3,8,8516,0,11697,De
R,200,1,D,10,0,2,6475,0,0,De
R,200,1,D,12,0,7,8821,0,419,De
R,200,1,S,5,5,8,2064,5528,3040,De
R,200,1,S,5,6,4,2870,8261,541,De
R,200,2,T,15,3,3,7653,0,6126,V
R,200,2,D,13,1,3,7270,539,502,V
R,200,2,D,12,6,3,8846,0,0,V
R,200,2,S,15,4,5,5088,6432,666,V
R,200,2,S,3,14,4,646,7998,511,V
R,201,1,T,3,1,7,6379,600,3112,De
R,201,1,D,4,0,9,14932,1926,0,De
R,201,1,D,6,0,8,7498,511,66,De
R,201,1,S,4,6,10,2202,4853,376,De
R,201,1,S,5,6,7,5502,6012,109,De
R,201,2,T,21,3,3,7179,610,14000,V
R,201,2,D,18,0,4,6984,0,1700,V
R,201,2,D,30,9,1,12040,0,0,V
R,201,2,S,15,24,0,3244,13342,33,V
R,201,2,S,10,19,1,1520,11687,711,V
R,202,1,T,22,4,9,11228,0,15800,De
R,202,1,D,18,3,11,9740,0,1211,De
R,202,1,D,21,1,13,12213,0,707,De
R,202,1,S,10,17,3,4827,14133,66,De
R,202,1,S,8,15,8,3195,12479,1272,De
R,202,2,T,27,7,7,14749,0,9090,V
R,202,2,D,19,2,11,11991,0,169,V
R,202,2,D,14,8,9,8231,246,264,V
R,202,2,S,16,16,7,6681,12380,191,V
R,202,2,S,21,10,5,10546,8743,0,V
R,203,1,T,14,2,14,7759,673,9229,De
R,203,1,D,9,1,12,5481,0,923,De
R,203,1,D,14,0,5,6106,0,0,De
R,203,1,S,9,8,9,6499,4239,0,De
R,203,1,S,3,9,9,1925,6375,700,De
R,203,2,T,23,3,3,7235,0,15999,V
R,203,2,D,28,3,6,11003,795,0,V
R,203,2,D,32,1,6,10863,0,572,V
R,203,2,S,14,23,2,2458,11981,386,V
R,203,2,S,14,3,6,5060,3864,0,V
R,204,1,T,6,0,5,8663,0,15014,De
R,204,1,D,7,0,7,7529,0,1115,De
R,204,1,D,10,0,10,9718,67,0,De
R,204,1,S,7,7,5,3967,9009,684,De
R,204,1,S,4,6,8,3037,8200,0,De
R,204,2,T,20,4,4,6986,0,12376,V
R,204,2,D,24,1,5,10660,0,361,V
R,204,2,D,21,3,3,7876,0,0,V
R,204,2,S,12,23,0,2262,9671,2086,V
R,204,2,S,18,22,1,5428,13459,0,V
R,205,1,T,8,1,14,10924,789,13467,De
R,205,1,D,10,3,11,9447,3,1990,De
R,205,1,D,16,2,10,13119,1023,143,De
R,205,1,S,6,11,8,5657,10014,6445,De
R,205,1,S,7,13,9,5771,12427,128,De
R,205,2,T,28,7,7,15714,0,10652,V
R,205,2,D,30,5,5,13190,354,238,V
R,205,2,D,24,0,9,10636,0,0,V
R,205,2,S,29,16,3,8385,9559,95,V
R,205,2,S,12,29,2,3446,15508,961,V
R,206,1,T,7,1,6,4009,0,3613,De
R,206,1,D,6,0,6,4035,0,84,De
R,206,1,D,9,2,6,3863,0,1217,De
R,206,1,S,4,4,5,589,3588,377,De
R,206,1,S,5,6,7,1098,4389,0,De
R,206,2,T,13,2,2,5886,138,4678,V
R,206,2,D,9,0,6,3040,0,65,V
R,206,2,D,23,4,2,8100,841,716,V
R,206,2,S,10,13,2,1843,3222,114,V
R,206,2,S,13,14,2,2228,3165,3,V
R,207,1,T,27,2,6,12407,0,21276,De
R,207,1,D,25,6,12,11132,598,663,De
R,207,1,D,20,2,10,12615,1110,1196,De
R,207,1,S,11,15,13,4689,8532,238,De
R,207,1,S,13,15,8,5682,7469,957,De
R,207,2,T,36,11,6,13507,1266,7098,V
R,207,2,D,24,0,10,10565,457,906,V
R,207,2,D,23,4,10,11298,0,0,V
R,207,2,S,15,21,6,3802,10271,433,V
R,207,2,S,14,20,9,3906,13102,1255,V
R,208,1,T,16,3,8,9294,0,14160,De
R,208,1,D,13,0,7,11658,135,31,De
R,208,1,D,24,2,10,11844,0,779,De
R,208,1,S,7,13,9,2748,8270,3925,De
R,208,1,S,0,19,7,442,13392,0,De
R,208,2,T,24,5,5,10757,0,11356,V
R,208,2,D,15,0,11,9170,554,55,V
R,208,2,D,20,3,4,8582,73,134,V
R,208,2,S,14,18,6,6173,8059,566,V
R,208,2,S,24,6,3,8600,6833,382,V
R,209,1,T,13,3,11,12519,0,9116,De
R,209,1,D,13,1,6,11598,0,271,De
R,209,1,D,7,0,10,7664,889,536,De
R,209,1,S,6,13,8,3217,13823,1080,De
R,209,1,S,11,11,5,5118,15587,0,De
R,209,2,T,32,2,5,20957,0,8733,V
R,209,2,D,23,1,4,14246,0,380,V
R,209,2,D,24,9,2,8581,156,0,V
R,209,2,S,1,31,4,248,15670,0,V
R,209,2,S,12,25,3,4841,13856,641,V
R,210,1,T,26,2,7,16601,0,23649,De
R,210,1,D,24,5,11,11078,0,0,De
R,210,1,D,12,1,11,8666,0,11,De
R,210,1,S,8,17,10,2424,11972,900,De
R,210,1,S,18,9,8,8041,10685,0,De
R,210,2,T,28,4,8,14146,0,24315,V
R,210,2,D,25,7,11,10476,0,360,V
R,210,2,D,21,1,9,12822,0,467,V
R,210,2,S,6,20,9,3016,12747,1331,V
R,210,2,S,17,22,6,5023,12541,0,V
R,211,1,T,13,0,9,9152,569,7764,De
R,211,1,D,12,0,6,8097,0,460,De
R,211,1,D,22,1,8,8504,0,0,De
R,211,1,S,6,7,2,2932,7105,370,De
R,211,1,S,11,12,10,3415,4319,713,De
R,211,2,T,21,3,8,8202,1408,6959,V
R,211,2,D,17,2,7,5037,573,0,V
R,211,2,D,16,1,6,9137,552,775,V
R,211,2,S,14,10,7,5351,5594,0,V
R,211,2,S,9,17,5,3391,6653,419,V
R,212,1,T,17,2,7,14762,0,8852,De
R,212,1,D,21,2,4,11790,0,0,De
R,212,1,D,16,0,10,12574,0,2032,De
R,212,1,S,10,22,4,2704,12851,120,De
R,212,1,S,12,11,9,5425,11705,219,De
R,212,2,T,17,6,6,13112,1970,5752,V
R,212,2,D,19,4,5,14797,0,2437,V
R,212,2,D,18,1,9,15557,675,35,V
R,212,2,S,11,18,5,3290,12173,0,V
R,212,2,S,12,15,9,7405,11336,1686,V
R,213,1,T,6,4,6,5779,0,3441,De
R,213,1,D,3,1,8,2705,0,0,De
R,213,1,D,11,0,6,6558,184,0,De
R,213,1,S,6,6,7,2242,3611,1218,De
R,213,1,S,0,5,6,280,3109,0,De
R,213,2,T,20,5,1,4832,206,2320,V
R,213,2,D,24,0,6,8626,0,0,V
R,213,2,D,20,0,1,4714,0,806,V
R,213,2,S,4,15,2,603,5431,0,V
R,213,2,S,0,21,1,0,5703,0,V
R,214,1,T,11,2,6,5955,262,6520,De
R,214,1,D,7,1,5,3824,0,552,De
R,214,1,D,6,1,4,4664,309,2879,De
R,214,1,S,4,6,5,3691,3678,159,De
R,214,1,S,5,2,5,2788,3449,1169,De
R,214,2,T,7,0,4,4251,0,7196,V
R,214,2,D,15,6,2,6631,0,0,V
R,214,2,D,13,3,4,4693,0,0,V
R,214,2,S,6,7,3,1638,6865,703,V
R,214,2,S,11,3,4,5459,3945,165,V
R,215,1,T,2,2,5,5446,0,7650,De
R,215,1,D,3,0,5,2650,0,0,De
R,215,1,D,1,0,6,2398,72,410,De
R,215,1,S,0,1,3,908,3370,141,De
R,215,1,S,2,3,1,787,5021,591,De
R,215,2,T,9,2,1,3723,0,9666,V
R,215,2,D,14,3,1,4651,0,426,V
R,215,2,D,11,1,0,7150,0,0,V
R,215,2,S,6,11,1,1064,4965,73,V
R,215,2,S,9,6,1,2182,3696,0,V
R,216,1,T,5,1,4,5391,0,7194,De
R,216,1,D,6,0,6,4337,236,0,De
R,216,1,D,4,1,7,2943,0,277,De
R,216,1,S,3,8,4,1607,5521,247,De
R,216,1,S,1,1,5,1359,2877,719,De
R,216,2,T,13,6,2,5259,0,2371,V
R,216,2,D,19,1,3,6813,0,188,V
R,216,2,D,14,5,1,5062,0,47,V
R,216,2,S,5,14,1,984,5705,336,V
R,216,2,S,8,13,2,2199,3458,0,V
R,217,1,T,12,3,8,6005,271,3344,De
R,217,1,D,11,0,2,5717,0,0,De
R,217,1,D,8,2,11,4410,0,289,De
R,217,1,S,6,11,7,2973,6647,0,De
R,217,1,S,5,10,6,2333,6637,0,De
R,217,2,T,21,6,2,9090,579,1510,V
R,217,2,D,20,1,4,5697,0,1005,V
R,217,2,D,23,0,7,8279,0,0,V
R,217,2,S,12,6,2,3159,3602,0,V
R,217,2,S,17,15,4,4356,6067,301,V
R,218,1,T,3,0,1,3525,0,11355,De
R,218,1,D,6,2,6,5257,488,1083,De
R,218,1,D,8,0,7,4164,0,75,De
R,218,1,S,4,5,5,3585,3889,306,De
R,218,1,S,3,2,6,1248,5444,202,De
R,218,2,T,12,0,4,5096,0,2502,V
R,218,2,D,14,5,3,5558,70,0,V
R,218,2,D,8,1,1,4713,0,61,V
R,218,2,S,13,13,2,4829,4059,0,V
R,218,2,S,8,17,1,909,5941,787,V
R,219,1,T,24,8,8,10067,2188,2608,De
R,219,1,D,27,5,3,8147,0,0,De
R,219,1,D,19,1,12,7673,732,114,De
R,219,1,S,23,16,9,4564,6094,1366,De
R,219,1,S,21,13,11,7303,4750,0,De
R,219,2,T,19,8,12,7184,0,6842,V
R,219,2,D,25,4,10,7690,484,1248,V
R,219,2,D,28,1,8,10440,0,342,V
R,219,2,S,23,14,4,10125,6158,559,V
R,219,2,S,1,30,7,80,12726,0,V
R,220,1,T,2,2,8,6690,616,9554,De
R,220,1,D,9,0,8,9257,0,0,De
R,220,1,D,9,2,8,10369,0,25,De
R,220,1,S,2,1,2,2627,5759,73,De
R,220,1,S,0,5,3,1088,9736,264,De
R,220,2,T,23,5,1,12838,1568,1569,V
R,220,2,D,11,0,4,6473,0,0,V
R,220,2,D,20,1,5,6472,0,0,V
R,220,2,S,6,19,1,3007,7442,0,V
R,220,2,S,8,13,3,2338,13381,1071,V
R,221,1,T,17,5,11,14793,0,17666,De
R,221,1,D,15,4,16,13556,0,0,De
R,221,1,D,21,3,12,15368,0,0,De
R,221,1,S,11,5,10,6307,9633,837,De
R,221,1,S,4,15,4,2321,10643,0,De
R,221,2,T,28,4,7,12716,6683,2078,V
R,221,2,D,25,0,7,13991,0,503,V
R,221,2,D,29,5,7,10133,168,0,V
R,221,2,S,15,31,5,6453,10723,0,V
R,221,2,S,6,22,7,2083,15940,0,V
R,222,1,T,20,5,8,10915,379,6002,De
R,222,1,D,21,1,2,12539,0,0,De
R,222,1,D,18,9,9,10408,175,583,De
R,222,1,S,1,14,5,226,10102,0,De
R,222,1,S,10,11,8,8235,6476,1054,De
R,222,2,T,17,6,2,7798,0,4424,V
R,222,2,D,16,6,6,8699,0,0,V
R,222,2,D,16,0,10,9409,0,1026,V
R,222,2,S,17,13,5,7037,10385,398,V
R,222,2,S,11,8,6,4516,7773,242,V
R,223,1,T,21,5,4,10687,0,10234,De
R,223,1,D,11,0,10,6359,0,150,De
R,223,1,D,18,0,8,8920,555,624,De
R,223,1,S,6,17,4,2377,8012,658,De
R,223,1,S,12,11,5,4363,7682,0,De
R,223,2,T,15,6,3,9178,789,3820,V
R,223,2,D,19,5,7,8177,0,483,V
R,223,2,D,14,1,6,6610,0,157,V
R,223,2,S,4,16,7,1476,9292,295,V
R,223,2,S,15,8,9,7013,6762,0,V
R,224,1,T,18,6,6,6164,724,3453,De
R,224,1,D,16,3,4,4956,0,0,De
R,224,1,D,14,4,7,6357,2,181,De
R,224,1,S,6,9,7,1726,3919,251,De
R,224,1,S,12,12,5,3955,3714,588,De
R,224,2,T,14,3,7,5841,35,3972,V
R,224,2,D,20,0,4,5183,738,0,V
R,224,2,D,17,3,5,6860,0,38,V
R,224,2,S,7,22,4,2121,3614,160,V
R,224,2,S,12,16,2,3498,4002,0,V
R,225,1,T,16,6,7,9982,1489,3322,De
R,225,1,D,14,0,8,7973,0,139,De
R,225,1,D,16,0,6,7295,0,0,De
R,225,1,S,13,15,4,3186,6613,19,De
R,225,1,S,10,14,7,3394,5900,1409,De
R,225,2,T,16,1,8,7003,0,6991,V
R,225,2,D,21,3,2,11089,0,0,V
R,225,2,D,15,0,6,5216,892,870,V
R,225,2,S,14,18,3,3901,11245,0,V
R,225,2,S,12,14,7,2894,6201,923,V
R,226,1,T,8,3,2,5944,0,12447,De
R,226,1,D,8,0,6,6571,0,629,De
R,226,1,D,8,0,8,5976,543,299,De
R,226,1,S,6,5,9,4066,2895,379,De
R,226,1,S,1,8,5,373,6641,0,De
R,226,2,T,22,7,3,6140,0,5346,V
R,226,2,D,15,4,4,6105,0,1653,V
R,226,2,D,14,0,3,4787,0,0,V
R,226,2,S,16,15,1,4075,7132,111,V
R,226,2,S,7,15,3,2053,5974,549,V
R,227,1,T,14,5,10,9905,592,5741,De
R,227,1,D,14,1,7,5614,0,0,De
R,227,1,D,24,1,10,13035,0,285,De
R,227,1,S,7,14,8,3111,9264,299,De
R,227,1,S,5,14,6,3299,11876,0,De
R,227,2,T,25,3,4,12665,243,5552,V
R,227,2,D,21,4,10,9265,747,0,V
R,227,2,D,21,8,6,9321,92,0,V
R,227,2,S,16,16,7,5300,7686,0,V
R,227,2,S,20,19,6,6176,8785,757,V
R,228,1,T,16,3,10,7729,0,24961,De
R,228,1,D,14,2,13,9407,0,336,De
R,228,1,D,18,4,12,11486,0,266,De
R,228,1,S,11,14,2,2941,12835,167,De
R,228,1,S,13,4,9,9546,6858,0,De
R,228,2,T,25,9,7,11113,995,9360,V
R,228,2,D,19,4,5,10301,0,38,V
R,228,2,D,27,3,9,10428,0,2412,V
R,228,2,S,10,16,7,3694,7654,845,V
R,228,2,S,21,12,8,6939,6913,0,V
R,229,1,T,18,4,5,7751,0,8967,De
R,229,1,D,14,1,7,11124,0,829,De
R,229,1,D,18,5,9,6932,514,0,De
R,229,1,S,1,13,5,1000,9145,0,De
R,229,1,S,10,15,8,2915,7960,466,De
R,229,2,T,16,2,4,9351,0,6484,V
R,229,2,D,15,1,7,8874,0,1158,V
R,229,2,D,18,2,4,11370,0,0,V
R,229,2,S,8,8,6,4397,6323,1931,V
