Q,I,T,Ro,E,A,D,Dm,H,M,Re
R,14,1,S,14,13,11,5939,12751,863,De
R,14,1,S,13,18,5,4320,19239,333,De
R,14,2,S,14,25,8,3839,16509,1672,V
R,14,2,T,33,10,7,14277,0,12687,V
R,14,2,S,19,27,6,4892,14542,541,V
R,14,2,D,33,3,8,15132,1148,1613,V
R,14,2,D,26,5,9,17936,0,1540,V
R,15,1,T,16,1,9,6110,0,8530,De
R,15,1,D,12,5,4,6664,26,4248,De
R,15,1,D,9,0,10,4186,197,1571,De
R,15,1,S,6,7,8,1579,7141,0,De
R,15,1,S,4,3,8,1656,4134,550,De
R,15,2,S,10,19,3,1823,7283,0,V
R,15,2,T,16,10,2,5355,0,3527,V
R,15,2,D,24,2,6,8327,1071,17,V
R,15,2,D,18,2,4,6662,0,78,V
R,15,2,S,16,12,4,3941,5662,237,V
R,16,1,T,12,1,11,5006,0,9911,De
R,16,1,D,8,0,2,7558,0,3014,De
R,16,1,D,19,8,5,6500,1433,0,De
R,16,2,D,18,5,3,5863,0,0,V
R,16,2,T,17,5,4,8693,0,4320,V
R,16,2,D,16,2,8,5060,0,0,V
R,16,2,S,16,16,4,3532,8915,850,V
R,16,2,S,4,18,5,430,9986,0,V
R,17,1,T,22,4,7,10060,0,10048,De
R,17,1,D,17,6,5,7341,46,1829,De
R,17,1,D,25,5,16,7391,0,0,De
R,17,1,S,13,7,12,6500,7715,161,De
R,17,1,S,14,17,6,3314,11679,1138,De
R,17,2,S,20,12,6,8785,11934,196,V
R,17,2,S,14,21,12,6091,8422,0,V
R,17,2,D,25,2,10,9847,693,289,V
R,17,2,T,23,6,4,7596,0,17741,V
R,17,2,D,22,1,9,9265,0,236,V
R,18,1,T,25,6,10,10729,0,10953,De
R,18,1,D,13,3,10,4852,0,0,De
R,18,1,D,21,2,11,11853,45,788,De
R,18,1,S,9,17,9,1949,13615,306,De
R,18,1,S,23,15,11,6702,11050,0,De
R,18,2,D,15,3,9,7970,1165,1782,V
R,18,2,S,10,20,4,2321,9918,597,V
R,18,2,D,27,0,11,8544,0,2063,V
R,18,2,T,42,5,9,15564,0,7324,V
R,18,2,S,21,23,4,5811,9262,0,V
R,19,1,T,2,0,5,5213,0,7582,De
R,19,1,D,7,0,8,3679,0,0,De
R,19,1,D,3,0,7,3844,83,0,De
R,19,1,S,3,1,6,2822,4123,369,De
R,19,1,S,2,6,2,1336,5992,465,De
R,19,2,D,16,0,3,4755,0,796,V
R,19,2,S,6,7,3,2211,3485,0,V
R,19,2,D,18,0,2,8535,0,0,V
R,19,2,S,4,15,1,639,7115,261,V
R,19,2,T,8,3,2,3886,0,2196,V
R,20,1,T,10,1,8,7521,0,8906,De
R,20,1,D,9,5,6,6784,0,0,De
