INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
14,2,DAMAGE,20,2,6,10020,0,0,WIN
14,2,SUPPORT,2,16,6,783,12379,0,WIN
14,2,SUPPORT,9,10,6,4016,10344,4666,WIN
15,1,TANK,23,6,8,6767,0,13706,LOSE
15,1,DAMAGE,17,3,11,9450,1144,0,LOSE
15,1,DAMAGE,13,0,12,8674,150,1061,LOSE
15,1,SUPPORT,9,17,10,4254,10895,3031,LOSE
15,1,SUPPORT,9,18,7,3236,13590,480,LOSE
15,2,TANK,27,6,2,17860,0,14613,WIN
15,2,DAMAGE,27,0,10,9288,0,1030,WIN
15,2,DAMAGE,25,0,8,10367,1209,0,WIN
15,2,SUPPORT,5,22,7,1814,7266,130,WIN
15,2,SUPPORT,12,11,4,4483,11544,1183,WIN
16,1,TANK,2,0,3,3888,0,7052,LOSE
16,1,DAMAGE,5,1,11,5264,0,2110,LOSE
16,1,DAMAGE,8,2,10,5409,127,0,LOSE
16,1,SUPPORT,1,0,9,1912,6109,0,LOSE
16,1,SUPPORT,0,3,9,720,6694,0,LOSE
16,2,TANK,23,2,1,9591,0,6869,WIN
16,2,DAMAGE,18,8,3,7593,0,0,WIN
16,2,DAMAGE,24,0,1,6944,0,0,WIN
16,2,SUPPORT,7,10,2,2832,4652,58,WIN
16,2,SUPPORT,0,22,1,0,8619,0,WIN
17,1,TANK,22,4,8,10373,0,9678,LOSE
17,1,DAMAGE,21,3,13,16193,1229,474,LOSE
17,1,DAMAGE,19,2,13,11097,0,888,LOSE
17,1,SUPPORT,1,15,11,2265,13746,236,LOSE
17,1,SUPPORT,7,16,12,2913,11933,328,LOSE
17,2,TANK,43,4,8,16324,3248,3774,WIN
17,2,DAMAGE,22,10,8,12413,863,2555,WIN
17,2,DAMAGE,26,18,9,8179,1468,0,WIN
17,2,SUPPORT,25,16,5,6158,12410,0,WIN
17,2,SUPPORT,13,24,4,3911,9558,798,WIN
18,1,TANK,19,5,3,6693,0,13654,LOSE
18,1,DAMAGE,17,0,6,7139,0,92,LOSE
18,1,DAMAGE,18,0,5,11299,0,0,LOSE
18,1,SUPPORT,2,21,0,250,9945,403,LOSE
18,1,SUPPORT,11,17,3,2840,8878,61,LOSE
18,2,TANK,8,3,6,5869,0,2888,WIN
18,2,DAMAGE,7,0,7,6471,151,137,WIN
18,2,DAMAGE,7,0,8,7759,1389,0,WIN
18,2,SUPPORT,3,7,4,1734,7456,228,WIN
18,2,SUPPORT,11,9,3,4170,9202,4984,WIN
19,1,TANK,6,1,5,3686,0,4235,LOSE
