I,T,RO,E,A,DE,DA,H,M,RE
16,1,T,29,6,5,11517,0,19790,V
16,1,D,20,5,4,11015,54,5204,V
16,1,D,20,2,9,11534,1943,1643,V
16,1,S,12,18,10,2947,12151,1068,V
16,1,S,19,8,5,3856,13975,0,V
16,2,T,18,2,8,12657,44,12358,D
16,2,D,25,4,9,16403,280,0,D
16,2,D,10,2,8,7995,659,1788,D
16,2,S,4,18,8,2339,11861,0,D
16,2,S,2,22,10,1320,13641,600,D
17,1,T,30,5,4,11871,0,10471,V
17,1,D,39,5,8,12613,0,0,V
17,1,D,33,8,6,14499,460,4152,V
17,1,S,21,19,6,5420,11119,344,V
17,1,S,5,17,4,1481,14368,557,V
17,2,T,17,3,11,12784,195,15721,D
17,2,D,12,3,14,10517,0,0,D
17,2,D,9,0,16,5457,0,1875,D
17,2,S,15,5,13,9954,8944,0,D
17,2,S,1,14,6,551,13645,316,D
18,1,T,7,3,2,3185,0,3030,V
18,1,D,14,1,0,5569,0,0,V
18,1,D,14,7,1,6556,0,0,V
18,1,S,2,4,3,540,2978,337,V
18,1,S,7,4,2,2280,5910,0,V
18,2,T,4,1,5,3528,0,7947,D
18,2,D,4,0,6,3452,0,0,D
18,2,D,3,0,4,2978,27,1102,D
18,2,S,1,2,2,857,5782,0,D
18,2,S,4,4,3,1145,5244,309,D
19,1,T,17,6,8,8526,0,8800,V
19,1,D,19,0,3,10138,0,0,V
19,1,D,24,1,6,8660,326,1510,V
19,1,S,8,18,5,4128,7478,269,V
19,1,S,9,12,6,3838,6590,34,V
19,2,T,14,5,7,7998,0,5282,D
19,2,D,15,0,11,7569,0,556,D
19,2,D,16,1,5,9029,1273,0,D
19,2,S,12,15,6,2411,9942,1888,D
19,2,S,2,17,6,274,10334,186,D
20,1,T,20,7,11,11812,0,6682,V
20,1,D,33,8,4,15027,0,0,V
20,1,D,28,0,12,12428,60,1813,V
20,1,S,22,24,11,6798,12204,0,V
20,1,S,17,22,6,6831,9120,644,V
20,2,T,26,12,7,10155,2960,7518,D
20,2,D,25,13,7,7000,594,0,D
20,2,D,32,2,14,14863,2941,45,D
20,2,S,3,26,7,758,19649,1127,D
20,2,S,16,18,10,4197,10484,119,D
21,1,T,17,8,3,7660,0,11582,V
21,1,D,20,1,4,5252,0,0,V
21,1,D,18,0,6,6595,1624,0,V
21,1,S,9,11,3,3180,5473,652,V
21,1,S,7,11,3,3154,6966,100,V
21,2,T,13,3,6,6614,0,7265,D
21,2,D,8,0,6,5594,0,0,D
21,2,D,7,0,6,4033,829,0,D
21,2,S,1,11,5,957,7724,700,D
21,2,S,11,6,6,3844,6222,0,D
22,1,T,28,3,5,7940,0,15980,V
22,1,D,42,4,3,11812,0,0,V
22,1,D,39,1,9,13424,0,0,V
22,1,S,4,41,2,238,12649,0,V
22,1,S,16,20,6,3094,7874,823,V
22,2,T,11,0,9,8268,0,5443,D
22,2,D,7,0,15,7097,613,334,D
22,2,D,12,1,9,9205,146,758,D
22,2,S,4,9,13,2562,9777,2049,D
22,2,S,7,6,10,2909,4585,554,D
23,1,T,11,7,6,7379,157,6190,V
23,1,D,22,7,1,7619,5,1922,V
23,1,D,22,11,4,6604,706,1361,V
23,1,S,18,6,4,4829,5477,0,V
23,1,S,10,16,2,2455,6568,318,V
23,2,T,10,2,5,7277,0,9670,D
23,2,D,8,2,8,4864,342,0,D
23,2,D,10,0,5,7065,1193,0,D
23,2,S,6,10,9,2243,9700,493,D
23,2,S,6,5,6,1899,7293,182,D
24,1,T,27,3,10,11109,0,11994,V
24,1,D,26,7,6,9835,6,4499,V
24,1,D,28,7,8,13849,1503,4030,V
24,1,S,24,22,9,5570,9992,66,V
24,1,S,16,18,5,4582,14919,1763,V
24,2,T,20,9,11,14693,2225,5933,D
24,2,D,19,1,1,10505,1164,118,D
24,2,D,19,2,12,10003,0,261,D
24,2,S,9,15,11,4823,8336,521,D
24,2,S,9,18,9,3720,12933,1017,D
25,1,T,10,3,3,3627,0,2238,V
25,1,D,14,1,1,4571,7,757,V
25,1,D,15,6,1,3944,544,977,V
25,1,S,15,8,1,3757,4062,145,V
25,1,S,0,14,2,20,6014,0,V
25,2,T,4,0,5,3593,0,5650,D
25,2,D,5,0,6,4366,0,0,D
25,2,D,4,0,6,3456,173,1219,D
25,2,S,0,4,3,730,5350,0,D
25,2,S,3,5,5,1765,3612,0,D
26,1,T,25,5,2,12816,0,6632,V
26,1,D,31,0,3,13003,948,81,V
26,1,D,29,12,4,9138,28,3336,V
26,1,S,17,17,4,5363,8248,116,V
26,1,S,18,19,7,6328,10386,0,V
26,2,T,7,1,10,7220,1214,12393,D
26,2,D,9,2,9,8082,1647,2044,D
26,2,D,10,1,12,6883,909,755,D
26,2,S,3,8,7,2853,9695,0,D
26,2,S,8,7,7,3157,12899,1860,D
27,1,T,16,4,2,5160,0,7959,V
27,1,D,15,2,1,7492,38,2612,V
27,1,D,21,0,2,10337,0,1358,V
27,1,S,13,16,2,3825,5433,0,V
27,1,S,4,10,4,1444,6184,35,V
27,2,T,3,1,6,3339,0,5576,D
27,2,D,9,0,7,5533,16,798,D
27,2,D,6,0,4,9708,0,339,D
27,2,S,1,5,4,920,7456,279,D
27,2,S,1,5,7,1759,9993,318,D
28,1,T,16,4,4,6470,0,8250,V
28,1,D,21,7,1,6930,2,2480,V
28,1,D,27,1,8,9207,0,0,V
28,1,S,17,15,4,3171,6086,380,V
28,1,S,15,24,1,4701,8564,0,V
28,2,T,5,0,7,2639,0,25674,D
28,2,D,9,0,9,7111,1738,0,D
28,2,D,12,0,13,6160,0,1357,D
28,2,S,3,10,5,3986,8774,0,D
28,2,S,7,7,5,2585,5419,309,D
29,1,T,31,9,15,11754,0,6719,V
29,1,D,27,9,3,8816,0,1239,V
29,1,D,38,0,9,16001,0,0,V
29,1,S,20,14,7,5148,4721,299,V
29,1,S,2,35,6,250,10566,0,V
29,2,T,12,5,13,6225,0,5557,D
29,2,D,25,5,11,9297,1673,35,D
29,2,D,26,0,8,9901,0,797,D
29,2,S,1,16,10,1170,14089,0,D
29,2,S,21,9,10,5311,9183,146,D
30,1,T,27,4,6,8449,0,6222,V
30,1,D,26,1,7,8124,1240,0,V
30,1,D,18,0,10,6431,0,1868,V
30,1,S,4,8,9,1226,4769,67,V
30,1,S,11,25,6,3157,7583,3348,V
30,2,T,0,0,0,0,0,0,D
30,2,D,14,4,10,5156,1312,0,D
30,2,D,17,4,11,7769,0,0,D
30,2,S,8,10,8,1939,7623,325,D
30,2,S,14,9,8,4981,5522,0,D
31,1,T,15,3,7,10132,0,6820,V
31,1,D,22,1,8,12594,2211,0,V
31,1,D,20,0,13,9621,0,1595,V
31,1,S,17,15,9,5325,8578,3786,V
31,1,S,16,16,11,4532,9758,222,V
31,2,T,28,2,5,10247,7401,1035,D
31,2,D,22,8,10,11258,0,0,D
31,2,D,20,3,12,6314,57,260,D
31,2,S,22,18,6,6282,9580,297,D
31,2,S,9,14,8,1994,11829,739,D
32,1,T,36,7,13,16104,515,15226,V
32,1,D,32,1,21,17114,75,756,V
32,1,D,34,1,14,21006,1906,0,V
32,1,S,8,18,12,2597,17328,1003,V
32,1,S,17,27,10,7778,14436,7778,V
32,2,T,41,17,7,15178,0,15512,D
32,2,D,29,3,19,13352,1491,0,D
32,2,D,37,1,16,18695,1582,185,D
32,2,S,33,36,9,8695,18619,328,D
32,2,S,15,24,9,2783,19208,228,D
33,1,T,10,3,0,6948,0,10687,V
33,1,D,9,0,5,3476,0,70,V
33,1,D,8,0,3,4878,295,0,V
33,1,S,7,5,1,2842,3560,394,V
33,1,S,0,10,2,0,3724,0,V
33,2,T,2,0,5,2149,533,4882,D
33,2,D,9,0,4,3752,0,40,D
33,2,D,3,1,1,3077,202,766,D
33,2,S,2,2,5,1697,4169,35,D
33,2,S,1,7,2,420,6673,0,D
34,1,T,23,4,2,15122,0,14674,V
34,1,D,20,0,7,10454,127,2282,V
34,1,D,31,0,4,13615,0,0,V
34,1,S,15,21,7,4044,10886,1738,V
34,1,S,2,29,3,204,12610,1166,V
34,2,T,12,7,6,11643,0,5529,D
34,2,D,6,5,14,5252,201,980,D
34,2,D,13,0,14,8647,0,367,D
34,2,S,4,5,2,2380,6053,177,D
34,2,S,14,8,10,7607,11575,0,D
35,1,T,29,6,7,16633,0,29777,V
35,1,D,29,3,12,11825,726,0,V
35,1,D,25,6,6,10221,1,5716,V
35,1,S,14,17,8,4552,9712,2426,V
35,1,S,9,21,8,2446,9183,434,V
35,2,T,19,7,7,14569,1883,14824,D
35,2,D,26,0,10,8845,0,0,D
35,2,D,18,0,8,7758,0,1931,D
35,2,S,9,14,10,3098,13619,698,D
35,2,S,6,9,10,3142,12930,2231,D
36,1,T,23,3,2,9512,0,10154,V
36,1,D,26,3,5,8131,1335,0,V
36,1,D,27,3,7,12372,0,910,V
36,1,S,19,18,5,3787,8076,650,V
36,1,S,4,30,5,271,9606,616,V
36,2,T,11,1,8,7641,0,11411,D
36,2,D,15,2,5,9129,1234,5610,D
36,2,D,10,0,10,6884,1689,0,D
36,2,S,0,15,8,140,11574,0,D
36,2,S,12,2,10,5080,5578,0,D
37,1,T,24,3,3,12346,0,17653,V
37,1,D,20,3,4,9683,1525,0,V
37,1,D,18,0,4,8945,0,3134,V
37,1,S,15,18,3,4515,5774,226,V
37,1,S,9,24,3,568,8563,471,V
37,2,T,8,5,8,7238,5288,3763,D
37,2,D,7,0,9,6075,517,651,D
37,2,D,10,1,8,5525,207,276,D
37,2,S,7,10,6,3203,7751,0,D
37,2,S,10,5,7,1566,8692,720,D
38,1,T,23,3,0,5841,0,4668,V
38,1,D,18,1,5,5657,567,0,V
38,1,D,21,0,1,4751,0,1343,V
