INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
9,2,DAMAGE,15,1,1,5290,338,0,VICTORY
9,2,SUPPORT,11,5,3,3214,2907,0,VICTORY
9,2,SUPPORT,0,13,1,0,4409,0,VICTORY
10,1,TANK,22,4,7,11034,0,5647,DEFEAT
10,1,DAMAGE,15,1,7,7287,1717,0,DEFEAT
10,1,DAMAGE,13,0,12,7127,1428,0,DEFEAT
10,1,SUPPORT,13,18,5,3735,10456,0,DEFEAT
10,1,SUPPORT,6,7,8,2398,8349,613,DEFEAT
10,2,TANK,24,5,3,10540,0,4457,VICTORY
10,2,DAMAGE,20,1,8,9873,959,583,VICTORY
10,2,DAMAGE,27,0,9,9350,0,134,VICTORY
10,2,SUPPORT,9,9,7,3153,7969,0,VICTORY
10,2,SUPPORT,13,21,5,3190,9880,0,VICTORY
11,1,TANK,10,1,8,8066,544,4371,DEFEAT
11,1,DAMAGE,11,2,7,7606,892,0,DEFEAT
11,1,DAMAGE,13,0,8,8888,4,3269,DEFEAT
11,1,SUPPORT,4,8,4,1457,8559,0,DEFEAT
11,1,SUPPORT,6,3,8,2879,4837,463,DEFEAT
11,2,TANK,27,10,1,7409,1515,3335,VICTORY
11,2,DAMAGE,24,0,6,6722,0,3461,VICTORY
11,2,DAMAGE,21,2,7,7377,918,0,VICTORY
11,2,SUPPORT,20,17,2,3375,8460,2250,VICTORY
11,2,SUPPORT,6,21,4,1580,7473,452,VICTORY
12,1,TANK,4,0,5,3475,165,6043,DEFEAT
12,1,DAMAGE,3,0,3,3854,365,13,DEFEAT
12,1,DAMAGE,4,0,3,4754,0,86,DEFEAT
12,1,SUPPORT,4,4,2,1209,5043,0,DEFEAT
12,1,SUPPORT,1,4,4,573,3509,180,DEFEAT
12,2,TANK,12,3,1,4535,0,8443,VICTORY
12,2,DAMAGE,5,0,4,3156,165,83,VICTORY
12,2,DAMAGE,9,0,0,4108,0,423,VICTORY
12,2,SUPPORT,9,7,1,2688,5092,0,VICTORY
12,2,SUPPORT,2,10,1,783,5886,129,VICTORY
13,1,TANK,15,2,8,9055,1643,5384,DEFEAT
13,1,DAMAGE,13,1,6,10582,638,3564,DEFEAT
13,1,DAMAGE,14,4,11,9754,0,91,DEFEAT
13,1,SUPPORT,5,14,4,4361,8201,0,DEFEAT
13,1,SUPPORT,0,15,6,380,10542,0,DEFEAT
13,2,TANK,21,7,4,12387,2759,4257,VICTORY
13,2,DAMAGE,19,2,5,7828,0,793,VICTORY
13,2,DAMAGE,22,1,9,10883,0,0,VICTORY
13,2,SUPPORT,1,21,4,1685,7274,0,VICTORY
13,2,SUPPORT,3,13,3,2518,11644,632,VICTORY
14,1,TANK,27,13,2,12097,0,7906,DEFEAT
14,1,DAMAGE,20,6,6,4732,614,658,DEFEAT
14,1,DAMAGE,15,0,6,9738,269,197,DEFEAT
14,1,SUPPORT,21,21,5,5162,6634,0,DEFEAT
14,1,SUPPORT,9,19,6,1813,11730,853,DEFEAT
14,2,TANK,6,0,5,3895,21,8922,VICTORY
14,2,DAMAGE,13,0,9,9841,670,0,VICTORY
14,2,DAMAGE,20,2,6,10020,0,0,VICTORY
14,2,SUPPORT,2,16,6,783,12379,0,VICTORY
14,2,SUPPORT,9,10,6,4016,10344,4666,VICTORY
15,1,TANK,23,6,8,6767,0,13706,DEFEAT
15,1,DAMAGE,17,3,11,9450,1144,0,DEFEAT
15,1,DAMAGE,13,0,12,8674,150,1061,DEFEAT
15,1,SUPPORT,9,17,10,4254,10895,3031,DEFEAT
15,1,SUPPORT,9,18,7,3236,13590,480,DEFEAT
15,2,TANK,27,6,2,17860,0,14613,VICTORY
15,2,DAMAGE,27,0,10,9288,0,1030,VICTORY
15,2,DAMAGE,25,0,8,10367,1209,0,VICTORY
15,2,SUPPORT,5,22,7,1814,7266,130,VICTORY
15,2,SUPPORT,12,11,4,4483,11544,1183,VICTORY
16,1,TANK,2,0,3,3888,0,7052,DEFEAT
16,1,DAMAGE,5,1,11,5264,0,2110,DEFEAT
16,1,DAMAGE,8,2,10,5409,127,0,DEFEAT
16,1,SUPPORT,1,0,9,1912,6109,0,DEFEAT
16,1,SUPPORT,0,3,9,720,6694,0,DEFEAT
16,2,TANK,23,2,1,9591,0,6869,VICTORY
16,2,DAMAGE,18,8,3,7593,0,0,VICTORY
16,2,DAMAGE,24,0,1,6944,0,0,VICTORY
16,2,SUPPORT,7,10,2,2832,4652,58,VICTORY
16,2,SUPPORT,0,22,1,0,8619,0,VICTORY
17,1,TANK,22,4,8,10373,0,9678,DEFEAT
17,1,DAMAGE,21,3,13,16193,1229,474,DEFEAT
17,1,DAMAGE,19,2,13,11097,0,888,DEFEAT
17,1,SUPPORT,1,15,11,2265,13746,236,DEFEAT
17,1,SUPPORT,7,16,12,2913,11933,328,DEFEAT
17,2,TANK,43,4,8,16324,3248,3774,VICTORY
17,2,DAMAGE,22,10,8,12413,863,2555,VICTORY
17,2,DAMAGE,26,18,9,8179,1468,0,VICTORY
17,2,SUPPORT,25,16,5,6158,12410,0,VICTORY
17,2,SUPPORT,13,24,4,3911,9558,798,VICTORY
18,1,TANK,19,5,3,6693,0,13654,DEFEAT
18,1,DAMAGE,17,0,6,7139,0,92,DEFEAT
18,1,DAMAGE,18,0,5,11299,0,0,DEFEAT
18,1,SUPPORT,2,21,0,250,9945,403,DEFEAT
18,1,SUPPORT,11,17,3,2840,8878,61,DEFEAT
18,2,TANK,8,3,6,5869,0,2888,VICTORY
18,2,DAMAGE,7,0,7,6471,151,137,VICTORY
18,2,DAMAGE,7,0,8,7759,1389,0,VICTORY
18,2,SUPPORT,3,7,4,1734,7456,228,VICTORY
18,2,SUPPORT,11,9,3,4170,9202,4984,VICTORY
19,1,TANK,6,1,5,3686,0,4235,DEFEAT
19,1,DAMAGE,2,0,4,4112,0,0,DEFEAT
19,1,DAMAGE,4,1,3,2672,1114,0,DEFEAT
19,1,SUPPORT,0,0,5,1160,2553,353,DEFEAT
19,1,SUPPORT,1,1,4,996,3762,132,DEFEAT
19,2,TANK,11,1,1,3245,0,6411,VICTORY
19,2,DAMAGE,11,0,0,5210,0,0,VICTORY
19,2,DAMAGE,8,0,2,5020,0,99,VICTORY
19,2,SUPPORT,0,4,3,643,4182,18,VICTORY
19,2,SUPPORT,1,10,1,729,6626,0,VICTORY
20,1,TANK,30,6,6,11403,0,16452,DEFEAT
20,1,DAMAGE,20,3,8,6221,840,0,DEFEAT
20,1,DAMAGE,31,0,10,15196,0,208,DEFEAT
20,1,SUPPORT,5,27,9,2617,12801,0,DEFEAT
20,1,SUPPORT,14,23,8,3678,15469,537,DEFEAT
20,2,TANK,19,4,10,12751,0,11415,VICTORY
20,2,DAMAGE,20,1,10,11706,1483,0,VICTORY
20,2,DAMAGE,22,1,13,10877,285,6265,VICTORY
20,2,SUPPORT,12,15,8,5251,10988,2441,VICTORY
20,2,SUPPORT,6,14,7,3713,7995,22,VICTORY
21,1,TANK,24,11,3,14550,0,22288,DEFEAT
21,1,DAMAGE,21,0,9,11612,128,3629,DEFEAT
21,1,DAMAGE,19,8,14,10031,0,1,DEFEAT
21,1,SUPPORT,8,22,6,3132,20785,1325,DEFEAT
21,1,SUPPORT,14,15,7,5107,19661,0,DEFEAT
21,2,TANK,27,5,6,16122,0,28366,VICTORY
21,2,DAMAGE,25,0,9,15110,898,0,VICTORY
21,2,DAMAGE,23,0,14,17166,437,109,VICTORY
21,2,SUPPORT,4,19,7,917,13439,314,VICTORY
21,2,SUPPORT,8,21,7,3429,13234,683,VICTORY
22,1,TANK,44,12,10,14023,0,27746,DEFEAT
22,1,DAMAGE,28,9,20,14388,1578,2767,DEFEAT
22,1,DAMAGE,25,2,20,15628,388,50,DEFEAT
22,1,SUPPORT,24,27,12,8787,16270,426,DEFEAT
22,1,SUPPORT,6,32,9,774,23237,119,DEFEAT
22,2,TANK,44,13,12,18211,0,18686,VICTORY
22,2,DAMAGE,36,2,14,18427,1354,1805,VICTORY
22,2,DAMAGE,30,5,9,14313,530,1930,VICTORY
22,2,SUPPORT,24,30,12,7153,14337,639,VICTORY
22,2,SUPPORT,19,45,13,8544,12192,0,VICTORY
23,1,TANK,16,5,5,12428,0,16931,DEFEAT
23,1,DAMAGE,3,0,15,5325,0,1003,DEFEAT
23,1,DAMAGE,11,0,16,5314,226,394,DEFEAT
23,1,SUPPORT,14,7,7,8298,9501,0,DEFEAT
23,1,SUPPORT,5,12,8,1827,19761,1942,DEFEAT
23,2,TANK,30,4,2,19029,1523,16433,VICTORY
23,2,DAMAGE,18,7,10,7795,0,0,VICTORY
