Battletag,Eliminations,Deaths,Assists,Damage,Healing,Mitigated,Result
shy,4,8,0,5636,0,74,Defeat
Mew,3,5,7,1559,5495,1212,Defeat
Mmonk,3,2,3,2475,9151,0,Defeat
Guxue,13,6,3,9494,1069,12039,Defeat
Leave,9,8,0,5021,0,0,Defeat
shy,13,9,0,8688,0,0,Defeat
Mew,10,6,6,4528,7855,3097,Defeat
Mmonk,5,7,11,3623,9725,0,Defeat
JunBin,27,2,4,9827,773,12791,Victory
HeeSang,25,4,0,6882,0,0,Victory
LIP,20,5,0,9914,0,0,Victory
CH0R0NG,17,2,22,5062,7541,3074,Victory
shu,16,3,21,5071,9244,0,Victory
Guxue,18,7,2,11844,342,15148,Defeat
Leave,13,7,0,5993,0,0,Defeat
shy,7,12,1,12556,0,139,Defeat
Mew,4,10,9,3467,7832,3636,Defeat
Mmonk,4,8,10,3844,12846,1587,Defeat
JunBin,33,3,11,12391,761,13573,Victory
HeeSang,32,1,0,9925,0,0,Victory
LIP,12,4,2,12302,0,143,Victory
CH0R0NG,15,6,22,5081,9577,4360,Victory
shu,17,6,18,4567,10861,967,Victory
HanBin,27,6,18,15789,4533,5410,Victory
Proper,27,11,1,12555,352,3041,Victory
Stalk3r,28,7,9,11620,466,0,Victory
ChiYo,23,9,25,4683,16717,0,Victory
Fielder,14,14,25,6050,7399,614,Victory
cuFFa,32,7,6,12092,0,9777,Defeat
Lethal,27,12,0,15788,0,0,Defeat
zeruhh,23,13,4,11189,53,1217,Defeat
Admiral,22,9,29,6856,12098,9153,Defeat
UltraViolet,24,6,21,5499,17056,0,Defeat
HanBin,22,6,7,10134,0,7897,Victory
Proper,23,8,0,9481,96,5204,Victory
Stalk3r,18,8,4,11289,0,0,Victory
ChiYo,13,6,26,3925,14628,0,Victory
Fielder,14,6,27,3966,8716,4070,Victory
cuFFa,24,6,8,13583,600,13586,Defeat
Lethal,12,9,1,9971,0,44,Defeat
zeruhh,23,5,1,8395,93,4942,Defeat
Admiral,14,9,23,3477,5923,4922,Defeat
UltraViolet,12,7,16,4642,12935,0,Defeat
JunBin,26,1,5,8373,661,10350,Victory
HeeSang,20,2,6,7490,0,0,Victory
LIP,20,2,0,5944,0,0,Victory
CH0R0NG,13,1,17,2835,3319,668,Victory
shu,7,3,15,3188,6137,146,Victory
cuFFa,4,6,1,4912,0,4058,Defeat
Lethal,6,5,0,5393,0,0,Defeat
zeruhh,5,4,0,3675,0,0,Defeat
Admiral,4,8,4,2563,4230,1286,Defeat
UltraViolet,2,5,5,1983,8152,0,Defeat
JunBin,28,2,8,9474,201,8633,Victory
HeeSang,30,7,6,10755,0,300,Victory
LIP,20,4,3,5271,0,0,Victory
CH0R0NG,11,5,21,3397,7286,814,Victory
shu,21,3,19,5190,7977,364,Victory
cuFFa,9,8,3,8628,0,9054,Defeat
Lethal,13,8,1,8292,0,165,Defeat
zeruhh,16,7,0,8051,0,0,Defeat
Admiral,3,10,7,2971,5464,2929,Defeat
UltraViolet,7,7,9,2361,9483,0,Defeat
MAX,17,0,4,7586,300,11986,Victory
HeeSang,12,3,3,6864,279,566,Victory
LIP,18,2,0,6331,0,0,Victory
CH0R0NG,10,3,12,2684,8391,0,Victory
shu,11,5,10,3217,4223,255,Victory
cuFFa,7,7,2,6498,0,11291,Defeat
Lethal,3,7,0,5843,0,0,Defeat
zeruhh,6,5,0,5432,105,2115,Defeat
Admiral,6,5,6,2100,4251,2667,Defeat
UltraViolet,6,3,6,2315,6907,0,Defeat
HanBin,24,4,8,12611,3495,14436,Victory
Proper,9,8,5,11556,0,0,Victory
Stalk3r,19,8,0,13599,0,0,Victory
ChiYo,15,4,14,3893,13196,901,Victory
Fielder,10,6,19,5162,11513,0,Victory
JunBin,20,7,6,15453,2763,7994,Defeat
HeeSang,17,9,5,10211,0,0,Defeat
LIP,20,6,0,11685,0,0,Defeat
CH0R0NG,15,6,13,4227,14742,0,Defeat
shu,10,7,19,5453,10233,0,Defeat
JunBin,28,6,3,12749,1891,17575,Victory
HeeSang,27,7,0,10359,0,0,Victory
LIP,25,7,0,11035,0,0,Victory
CH0R0NG,19,5,20,7080,10382,3828,Victory
shu,16,5,24,6358,12890,0,Victory
HanBin,17,10,6,11222,1156,16863,Defeat
Proper,19,6,0,9183,0,0,Defeat
Stalk3r,16,10,0,13746,0,0,Defeat
ChiYo,12,7,14,5912,8949,3710,Defeat
Fielder,11,7,16,6773,11810,0,Defeat
HanBin,20,7,16,10742,3783,6286,Victory
Proper,20,4,0,8313,0,0,Victory
Stalk3r,24,6,0,11339,0,0,Victory
ChiYo,12,4,16,3485,9034,1182,Victory
Fielder,10,6,25,3656,9637,1100,Victory
JunBin,21,4,4,10221,1570,13911,Defeat
HeeSang,18,6,8,10920,0,0,Defeat
LIP,16,8,0,10182,0,0,Defeat
CH0R0NG,12,7,10,4071,6440,1674,Defeat
shu,10,5,24,4028,12999,0,Defeat
HanBin,35,9,13,16508,2322,23980,Defeat
Proper,31,13,0,12585,0,0,Defeat
Stalk3r,31,16,1,17670,0,150,Defeat
ChiYo,21,11,28,7132,11412,4160,Defeat
Fielder,16,12,30,7087,15930,0,Defeat
JunBin,40,7,8,16543,2075,22886,Victory
HeeSang,41,8,0,16208,0,0,Victory
LIP,31,12,0,16010,0,0,Victory
CH0R0NG,23,11,33,8129,13665,7100,Victory
shu,27,14,24,7993,14071,1818,Victory
JunBin,27,5,4,10621,1094,16210,Victory
HeeSang,25,9,8,10925,0,0,Victory
LIP,27,4,0,13066,0,0,Victory
CH0R0NG,22,3,22,6380,8132,2416,Victory
shu,17,3,28,4859,10850,0,Victory
HanBin,15,7,8,10052,4598,5093,Defeat
Proper,19,10,0,8796,0,443,Defeat
Stalk3r,10,10,1,9790,0,0,Defeat
ChiYo,11,8,11,3324,9700,1428,Defeat
Fielder,8,9,14,3604,10611,0,Defeat
MAX,24,6,9,17220,0,24332,Victory
HeeSang,26,12,3,15419,443,3117,Victory
LIP,27,10,6,15467,372,1469,Victory
CH0R0NG,21,6,25,9216,10630,3631,Victory
shu,18,8,20,7654,18467,794,Victory
HanBin,24,7,11,11047,1493,34240,Defeat
Proper,29,12,3,13367,771,3802,Defeat
Stalk3r,24,9,0,16004,825,871,Defeat
ChiYo,16,9,18,6899,12420,3900,Defeat
Fielder,16,8,24,7738,21655,592,Defeat
