INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
43,2,SUPPORT,4,3,5,3687,7401,956,DEFEAT
43,2,SUPPORT,3,9,9,2742,9141,2332,DEFEAT
44,1,TANK,13,2,0,7974,0,8912,VICTORY
44,1,DAMAGE,12,5,0,5362,0,0,VICTORY
44,1,DAMAGE,6,0,4,5232,81,5,VICTORY
44,1,SUPPORT,1,13,0,40,5719,0,VICTORY
44,1,SUPPORT,6,12,0,1545,8517,582,VICTORY
44,2,TANK,2,0,3,4308,0,7434,DEFEAT
44,2,DAMAGE,4,0,5,4572,0,0,DEFEAT
44,2,DAMAGE,2,1,4,5328,0,0,DEFEAT
44,2,SUPPORT,0,4,4,0,7754,0,DEFEAT
44,2,SUPPORT,1,3,2,1593,5810,1736,DEFEAT
45,1,TANK,30,9,5,13467,897,14769,VICTORY
45,1,DAMAGE,29,9,6,11383,0,0,VICTORY
45,1,DAMAGE,40,0,10,11505,0,0,VICTORY
45,1,SUPPORT,21,25,8,6071,8451,566,VICTORY
45,1,SUPPORT,15,23,7,3958,19126,1720,VICTORY
45,2,TANK,10,4,15,15047,0,11623,DEFEAT
45,2,DAMAGE,21,0,11,13064,0,1632,DEFEAT
45,2,DAMAGE,13,0,11,10443,0,116,DEFEAT
45,2,SUPPORT,8,15,9,4303,13638,0,DEFEAT
45,2,SUPPORT,5,14,13,3057,10421,113,DEFEAT
46,1,TANK,28,7,3,12751,1193,3790,VICTORY
46,1,DAMAGE,25,5,5,11276,0,0,VICTORY
46,1,DAMAGE,26,3,8,10574,488,119,VICTORY
46,1,SUPPORT,12,17,4,4056,7099,304,VICTORY
46,1,SUPPORT,5,28,3,1282,12367,0,VICTORY
46,2,TANK,14,4,7,9924,0,15474,DEFEAT
46,2,DAMAGE,12,0,14,6218,94,277,DEFEAT
46,2,DAMAGE,12,1,7,7418,658,275,DEFEAT
46,2,SUPPORT,4,7,7,2042,12121,96,DEFEAT
46,2,SUPPORT,0,0,0,0,0,0,DEFEAT
47,1,TANK,34,8,5,9475,283,10226,VICTORY
47,1,DAMAGE,34,0,4,12704,0,527,VICTORY
47,1,DAMAGE,29,1,10,9365,1153,662,VICTORY
47,1,SUPPORT,18,24,3,4640,8228,0,VICTORY
47,1,SUPPORT,15,33,7,3390,8721,464,VICTORY
47,2,TANK,18,7,12,8951,0,6288,DEFEAT
47,2,DAMAGE,18,1,13,10022,853,570,DEFEAT
47,2,DAMAGE,14,0,12,6027,0,68,DEFEAT
47,2,SUPPORT,2,19,10,351,10906,186,DEFEAT
47,2,SUPPORT,8,14,8,2687,9788,557,DEFEAT
48,1,TANK,31,10,3,9285,0,15437,VICTORY
48,1,DAMAGE,36,1,3,13052,0,0,VICTORY
48,1,DAMAGE,34,5,8,11841,1127,0,VICTORY
48,1,SUPPORT,10,21,4,3093,9147,206,VICTORY
48,1,SUPPORT,0,35,4,60,13145,0,VICTORY
48,2,TANK,8,2,11,7919,0,8561,DEFEAT
48,2,DAMAGE,18,0,12,8667,832,0,DEFEAT
48,2,DAMAGE,7,4,4,6987,2212,0,DEFEAT
48,2,SUPPORT,2,5,10,2575,8915,2181,DEFEAT
48,2,SUPPORT,7,5,11,4778,6007,66,DEFEAT
49,1,TANK,22,5,6,9974,0,7150,VICTORY
49,1,DAMAGE,25,1,7,11477,0,0,VICTORY
49,1,DAMAGE,27,9,6,10237,401,0,VICTORY
49,1,SUPPORT,9,20,7,4808,7962,153,VICTORY
49,1,SUPPORT,6,12,9,3358,6435,799,VICTORY
49,2,TANK,21,6,8,10968,0,12037,DEFEAT
