I,T,R,E,A,DE,DA,H,M
17,1,D,25,5,16,7391,0,0
17,1,S,13,7,12,6500,7715,161
17,1,S,14,17,6,3314,11679,1138
17,2,S,20,12,6,8785,11934,196
17,2,S,14,21,12,6091,8422,0
17,2,D,25,2,10,9847,693,289
17,2,T,23,6,4,7596,0,17741
17,2,D,22,1,9,9265,0,236
18,1,T,25,6,10,10729,0,10953
18,1,D,13,3,10,4852,0,0
18,1,D,21,2,11,11853,45,788
18,1,S,9,17,9,1949,13615,306
18,1,S,23,15,11,6702,11050,0
18,2,D,15,3,9,7970,1165,1782
18,2,S,10,20,4,2321,9918,597
18,2,D,27,0,11,8544,0,2063
18,2,T,42,5,9,15564,0,7324
18,2,S,21,23,4,5811,9262,0
19,1,T,2,0,5,5213,0,7582
19,1,D,7,0,8,3679,0,0
19,1,D,3,0,7,3844,83,0
19,1,S,3,1,6,2822,4123,369
19,1,S,2,6,2,1336,5992,465
19,2,D,16,0,3,4755,0,796
19,2,S,6,7,3,2211,3485,0
19,2,D,18,0,2,8535,0,0
19,2,S,4,15,1,639,7115,261
19,2,T,8,3,2,3886,0,2196
20,1,T,10,1,8,7521,0,8906
20,1,D,9,5,6,6784,0,0
20,1,D,19,0,7,7762,203,1033
20,1,S,8,12,7,4818,4780,243
20,1,S,7,11,8,2595,7080,842
20,2,T,20,5,3,9017,0,5034
20,2,S,0,19,5,0,10343,0
20,2,D,18,5,5,7315,596,0
20,2,S,7,9,6,2087,7983,125
20,2,D,19,0,7,8935,0,1138
21,1,T,7,4,14,8758,0,11681
21,1,D,9,1,2,9302,0,0
21,1,D,7,4,10,10710,2145,0
21,1,S,6,4,12,4356,8286,0
21,1,S,5,4,7,2916,10068,887
21,2,S,18,14,2,4036,13176,0
21,2,D,26,3,4,13247,0,943
21,2,T,27,13,3,8406,0,17777
21,2,D,26,4,2,10616,0,65
21,2,S,15,19,1,2315,16422,1149
22,1,T,16,2,7,9715,0,11183
22,1,D,15,3,7,6453,0,0
22,1,D,15,1,9,9161,1817,0
22,1,S,7,13,7,2376,10215,0
22,1,S,8,12,7,3107,5555,181
22,2,D,17,0,8,6700,0,518
22,2,D,20,8,6,7941,1080,4160
22,2,S,9,1,6,2206,7851,0
22,2,T,29,11,4,10332,0,14135
22,2,S,13,18,4,3340,10771,544
23,1,T,21,3,8,11761,2730,5153
23,1,D,25,4,6,10255,0,0
23,1,D,14,2,12,5687,492,2071
23,1,S,11,12,9,2612,9023,412
23,1,S,5,21,4,1639,13201,0
23,2,T,17,4,6,13019,0,5379
23,2,D,20,2,8,11772,0,0
23,2,S,13,18,5,2395,12871,150
23,2,D,27,1,7,9684,396,0
23,2,S,15,15,10,5171,7030,176
24,1,T,24,4,7,9420,0,12094
24,1,D,17,4,4,4671,0,0
24,1,D,13,0,11,4321,0,477
24,1,S,13,15,7,2760,9615,0
24,1,S,7,8,9,1935,9299,1262
24,2,D,23,4,6,6267,0,1351
24,2,T,22,13,6,5217,0,4480
24,2,D,20,5,7,5932,0,0
24,2,S,22,16,5,7339,7259,0
24,2,S,25,6,6,6406,6568,0
25,1,T,11,1,7,6857,0,7116
25,1,D,14,0,7,4876,0,0
25,1,D,14,1,9,5231,0,0
25,1,S,7,5,7,2343,7197,365
25,1,S,10,8,8,3415,4377,0
25,2,T,20,3,3,5941,0,6573
25,2,D,11,1,9,4637,463,86
25,2,S,4,13,5,1331,9405,699
25,2,S,22,3,2,7586,4845,0
25,2,D,11,2,8,2803,0,0
26,1,T,22,10,6,9489,0,11559
26,1,D,22,2,9,13771,0,0
26,1,D,20,5,5,13949,0,27
26,1,S,7,15,4,3530,14076,174
26,1,S,7,16,6,2428,13049,1225
26,2,S,3,19,4,134,17007,0
26,2,T,16,6,7,9973,684,13036
26,2,D,16,0,9,13580,0,244
26,2,S,5,8,4,3319,9156,1554
26,2,D,17,0,9,12514,0,0
27,1,T,20,6,7,8984,0,9151
27,1,D,22,1,6,11807,0,0
27,1,D,12,5,15,6772,1282,307
27,1,S,12,19,4,2654,11568,762
27,1,S,8,11,7,4540,11648,0
27,2,D,21,4,5,13044,1678,939
27,2,S,17,15,8,5282,10813,0
27,2,S,16,14,10,4946,6637,428
27,2,T,22,6,6,11222,1840,3809
27,2,D,13,8,5,8345,830,8
28,1,T,12,2,7,6924,561,6508
28,1,D,14,0,13,7604,1671,0
28,1,D,15,1,10,6036,644,1259
28,1,S,8,10,7,2244,9945,820
28,1,S,11,13,9,2331,7124,327
28,2,D,19,6,8,5450,84,1310
28,2,T,23,10,8,6699,0,3733
28,2,S,19,12,4,6266,8490,0
28,2,S,23,18,4,6345,5693,407
28,2,D,31,4,7,11199,0,0
29,1,T,4,1,6,2835,350,2948
29,1,D,3,0,4,4086,0,0
29,1,D,4,0,9,3269,332,0
29,1,S,1,2,5,887,3924,239
29,1,S,0,2,5,246,6069,0
29,2,D,15,1,1,5795,56,1018
29,2,T,24,6,1,6892,0,8069
29,2,S,8,10,1,1510,4352,374
29,2,D,13,2,2,3226,113,222
29,2,S,13,13,2,3283,3135,0
30,1,T,10,6,9,6954,549,6227
30,1,D,13,1,2,8211,0,0
30,1,D,13,3,10,7907,1179,0
30,1,S,13,13,4,5231,9560,0
30,1,S,5,10,5,1154,8490,2524
30,2,S,11,16,5,3689,9747,4192
30,2,S,12,14,4,1979,9380,1172
30,2,T,22,8,4,10767,0,3921
30,2,D,21,0,4,7604,0,0
30,2,D,14,3,6,8264,0,0
31,1,T,1,0,3,3213,3261,929
31,1,D,5,1,4,4409,0,0
31,1,D,2,1,2,2890,0,284
31,1,S,2,2,1,830,5146,126
31,1,S,1,3,2,754,3264,99
31,2,D,6,0,4,3617,38,218
31,2,T,10,4,0,4325,0,4735
31,2,D,7,2,1,6977,0,0
31,2,S,3,6,2,762,3866,45
31,2,S,4,6,0,804,5799,0
32,1,T,26,9,13,11806,0,17925
32,1,D,19,9,9,9741,117,3504
32,1,D,28,1,17,13073,1013,792
32,1,S,16,21,10,3188,12818,729
32,1,S,2,26,11,1858,13723,0
32,2,S,18,16,7,4673,9626,0
32,2,D,28,1,12,14274,623,1804
32,2,D,41,1,10,13704,0,3523
32,2,S,15,21,8,5166,13437,701
32,2,T,27,1,8,11254,0,24067
33,1,T,14,1,10,12573,237,12662
33,1,D,14,4,6,9367,29,2168
33,1,D,17,2,8,11170,913,16
33,1,S,16,14,8,3498,12687,108
33,1,S,8,8,10,5105,7338,254
33,2,D,25,0,9,12089,1059,713
33,2,S,0,28,4,100,17667,0
33,2,S,14,10,6,5867,7853,487
33,2,T,24,5,7,11265,0,15308
33,2,D,29,0,3,10366,1104,0
34,1,T,24,4,11,14645,0,9540
34,1,D,19,2,7,11453,0,0
34,1,D,26,4,12,12646,285,1180
34,1,S,8,13,14,4219,8645,640
34,1,S,11,13,13,3362,7520,3219
34,2,S,10,29,8,2940,12125,131
34,2,D,29,9,8,10385,500,0
34,2,T,35,12,9,12198,4851,8161
34,2,D,26,8,10,11240,338,85
34,2,S,15,28,7,2795,14183,1062
35,1,T,19,3,11,12744,0,22464
35,1,D,18,1,5,9596,0,0
35,1,D,14,2,17,8583,1116,0
35,1,S,13,6,9,6356,10715,319
35,1,S,6,5,12,3072,9568,24
35,2,T,38,14,5,13498,0,12907
35,2,D,30,5,10,13776,1490,0
35,2,D,29,0,9,9628,216,964
35,2,S,11,24,6,3302,8780,0
35,2,S,4,18,6,2311,16262,1201
36,1,T,1,1,6,3434,0,3929
36,1,D,2,1,3,4044,0,0
36,1,D,0,0,5,4224,20,146
36,1,S,0,1,1,247,6490,0
36,1,S,1,0,4,1894,3106,0
36,2,T,10,2,1,4365,0,4292
36,2,S,4,8,1,781,6335,360
36,2,D,15,0,0,5505,555,0
36,2,D,10,1,0,4051,448,3305
36,2,S,11,12,0,2672,4109,0
37,1,T,7,1,5,3370,0,3979
37,1,D,2,0,2,2601,0,0
37,1,D,6,2,6,3004,361,1818
37,1,S,6,4,4,1183,4129,365
37,2,D,16,1,4,3954,521,0
37,2,S,8,7,1,1873,3086,0
37,2,D,9,0,1,2690,0,0
37,2,T,10,0,2,4076,0,8644
37,2,S,8,9,1,1559,4731,391
38,1,T,3,1,7,4470,0,6342
38,1,D,6,1,4,4819,0,0
38,1,D,5,1,6,3456,0,0
38,1,S,2,4,7,867,7185,241
38,1,S,5,4,2,2044,8100,1097
38,2,D,16,3,1,7339,1186,0
38,2,T,13,1,2,6656,0,3427
38,2,D,14,0,5,4331,0,926
38,2,S,12,12,0,2538,6126,162
38,2,S,9,6,1,4034,4950,0
39,1,T,18,5,8,9645,0,12285
39,1,D,19,1,7,7323,0,0
39,1,D,13,1,13,6868,0,501
39,1,S,1,17,8,572,12478,374
39,1,S,7,11,9,3582,8648,1602
39,2,D,24,3,3,10611,1905,0
39,2,T,33,10,5,9404,0,16082
39,2,D,30,1,7,10530,0,2477
39,2,S,10,25,5,1659,10157,266
39,2,S,7,13,5,4111,6273,196
40,1,T,17,8,13,13733,0,8494
40,1,D,21,1,7,12625,0,0
40,1,D,14,6,6,13033,0,0
40,1,S,6,11,12,4741,7383,41
40,1,S,4,14,7,1830,10453,260
40,2,S,1,22,2,318,20316,495
40,2,T,26,6,5,14065,0,13570
40,2,D,28,7,6,11276,0,0
40,2,S,11,13,6,2829,12561,1196
40,2,D,18,3,12,7701,888,73
41,1,T,26,6,9,11328,404,7941
41,1,D,25,3,3,9085,0,0
41,1,D,23,0,10,7656,0,369
41,1,S,14,8,9,4667,9166,188
41,1,S,14,22,12,4967,12401,0
41,2,S,14,23,8,2887,11514,2319
41,2,T,27,6,7,12736,0,10146
41,2,D,20,6,11,7034,38,253
41,2,S,15,16,6,5438,10769,521
41,2,D,21,1,9,9043,0,335
42,1,T,4,0,8,4150,0,6097
42,1,D,4,0,3,3578,0,0
42,1,D,3,0,9,4300,1161,0
42,1,S,2,0,7,1627,3810,0
42,1,S,3,4,9,2854,5721,0
42,2,D,21,2,3,6506,257,0
42,2,S,5,11,1,1203,5638,1124
42,2,S,12,15,0,1878,6993,0
42,2,T,22,2,0,6968,0,12937
42,2,D,22,0,4,5731,0,1721
43,1,T,13,2,4,6660,0,5375
43,1,D,6,1,4,6681,0,0
43,1,D,12,0,10,7276,706,0
43,1,S,2,11,7,2172,5753,1026
43,1,S,4,3,6,3253,5615,1670
43,2,S,5,19,3,410,11613,478
43,2,T,18,8,3,6540,0,8456
43,2,D,15,4,3,6364,0,0
43,2,S,8,12,3,1818,6121,168
43,2,D,23,0,6,7093,0,2359
44,1,T,31,7,13,13033,0,17261
44,1,D,41,2,5,12755,0,0
44,1,D,26,13,14,8495,390,2273
44,1,S,24,29,11,6340,12049,2190
44,1,S,16,17,12,3046,13562,1485
44,2,S,22,25,9,7176,13134,935
44,2,T,30,7,9,13102,0,11816
44,2,D,38,2,11,10624,0,2647
44,2,S,13,35,7,4936,12774,776
44,2,D,31,5,18,11313,1233,0
45,1,T,12,7,5,6159,0,7911
45,1,D,13,3,1,7967,0,0
45,1,D,16,0,5,7958,966,930
45,1,S,8,11,8,2760,4594,410
45,1,S,7,18,3,1356,9457,0
45,2,S,5,5,5,934,5947,1184
45,2,D,14,2,3,6442,2475,0
45,2,D,15,6,5,6082,321,1773
45,2,S,4,9,3,1736,7841,1153
45,2,T,17,7,4,7867,0,6352
46,1,T,16,6,12,8941,0,14347
46,1,D,13,2,6,7137,8,2706
46,1,D,17,0,16,6780,77,1810
46,1,S,8,7,11,3134,9542,6714
46,1,S,6,11,5,1388,6019,166
46,2,S,31,23,5,6951,6422,366
46,2,S,10,23,5,1220,12382,714
46,2,D,28,4,8,7864,0,1295
46,2,T,43,10,4,17612,0,8679
46,2,D,11,5,7,3985,308,27
47,1,T,2,0,5,3828,35,6380
47,1,D,4,2,1,3653,0,112
47,1,D,3,0,8,3319,0,1509
47,1,S,0,2,5,243,4232,0
47,1,S,1,3,5,575,5729,191
47,2,S,4,4,0,1846,3317,0
47,2,T,10,4,1,4755,0,5932
47,2,S,3,7,0,490,5204,0
47,2,D,11,2,2,6182,393,108
47,2,D,15,1,3,5814,0,0
48,1,T,18,5,10,10467,0,17146
48,1,D,16,3,9,9029,650,3525
48,1,D,14,5,8,7451,20,3677
48,1,S,10,13,10,3043,9575,747
48,1,S,19,7,9,9288,8713,0
48,2,D,24,1,4,12866,0,0
48,2,D,25,0,11,10331,0,1324
48,2,T,19,4,5,8855,0,15940
48,2,S,5,11,8,2740,9802,500
48,2,S,4,20,1,1126,19447,1072
49,1,T,27,6,6,15825,0,24966
49,1,D,22,3,11,10134,483,2084
49,1,D,27,0,11,14168,907,1439
49,1,S,24,21,8,8770,20322,0
49,1,S,12,27,11,5294,11536,0
49,2,D,22,0,12,11206,174,766
49,2,S,13,34,5,3853,20035,0
49,2,T,31,6,9,15874,0,23622
49,2,S,18,19,5,4713,15915,1523
49,2,D,31,7,12,15251,75,1143
50,1,T,9,2,8,7480,0,15269
50,1,D,8,1,9,8072,88,327
50,1,D,13,1,9,8169,140,134
50,1,S,6,9,7,3581,6372,0
50,1,S,8,8,9,2201,8732,620
50,2,D,15,6,7,4252,96,537
50,2,T,37,5,4,13073,0,8404
50,2,S,10,31,1,1927,9509,701
50,2,D,23,3,7,7475,107,826
50,2,S,10,35,2,1978,12573,0
51,1,T,26,8,17,14797,0,22398
51,1,D,19,6,10,9965,40,3132
51,1,D,26,0,18,12652,0,3077
51,1,S,27,28,11,6873,18248,0
51,1,S,12,28,17,3422,15771,1897
51,2,D,30,3,14,14148,878,98
51,2,D,40,4,10,15150,619,290
51,2,S,23,32,10,5750,16765,875
51,2,T,41,3,6,19108,0,20700
51,2,S,25,28,9,6771,11626,347
52,1,T,11,1,5,9273,0,10892
52,1,D,12,0,7,5668,0,859
52,1,D,6,3,6,3313,916,0
52,1,S,3,7,2,1455,8669,203
52,1,S,0,10,3,18,8710,495
52,2,T,15,2,4,9656,0,4834
52,2,D,15,0,3,4710,559,0
52,2,S,9,14,4,2371,7233,0
52,2,D,12,1,3,8401,0,0
52,2,S,9,15,4,1906,5748,615
53,1,T,13,3,10,6045,0,9182
53,1,D,17,4,11,5853,62,0
53,1,D,19,0,9,7895,0,2406
53,1,S,5,14,6,4281,6186,1159
53,1,S,4,13,0,1543,11183,1276
53,2,D,20,4,6,7516,0,0
53,2,D,18,2,7,5990,0,374
53,2,S,15,24,5,3381,7845,0
53,2,S,15,18,4,4563,7775,287
53,2,T,24,14,5,9133,0,6677
54,1,T,13,2,6,8434,928,6359
54,1,D,12,3,9,7363,473,0
54,1,D,11,4,4,7728,91,2451
54,1,S,5,4,5,2792,5556,698
54,1,S,0,12,4,78,12136,351
54,2,D,8,0,7,5704,0,0
54,2,S,7,17,4,1091,11675,0
54,2,D,16,4,5,6237,0,0
54,2,S,8,10,3,2709,8054,510
54,2,T,21,1,3,13929,0,6004
55,1,T,9,1,7,6596,0,7218
55,1,D,9,0,9,6551,0,1198
55,1,D,6,0,7,5643,67,2502
55,1,S,4,7,9,3952,8813,4854
55,1,S,5,6,6,2135,9350,312
55,2,D,25,12,5,8290,1429,5254
55,2,S,12,21,4,3699,6775,0
55,2,S,14,18,4,2615,9142,369
55,2,D,22,0,2,5810,0,106
55,2,T,29,6,2,10319,0,14764
56,1,T,10,1,5,6631,0,15580
56,1,D,15,2,5,5697,835,0
56,1,D,14,0,4,5679,0,967
56,1,S,6,13,5,3649,5531,0
56,1,S,4,7,5,768,5328,42
56,2,S,4,8,4,1562,6716,24
56,2,D,13,1,6,7189,0,144
56,2,S,7,12,5,1845,7232,0
56,2,D,15,2,4,6656,0,412
56,2,T,13,4,4,3881,0,7269
57,1,T,21,7,9,8165,0,23241
57,1,D,22,6,8,10047,0,4949
57,1,D,26,0,16,8501,0,1536
57,1,S,14,9,13,4340,10876,799
57,1,S,11,17,14,3095,12958,1084
57,2,D,20,0,8,9088,1138,49
57,2,D,30,7,11,9016,0,952
57,2,S,29,16,10,8232,7965,0
57,2,S,16,10,7,3674,8869,186
57,2,T,41,12,8,15843,0,7390
58,1,T,9,3,15,8763,1061,2726
58,1,D,11,4,4,9532,15,5760
58,1,D,15,1,13,7547,1288,0
58,1,S,3,2,9,3873,3780,40
58,1,S,3,10,9,858,14060,1411
58,2,D,25,7,5,7266,0,0
58,2,D,28,4,5,9395,1371,2667
58,2,S,22,20,3,5619,9192,251
58,2,S,13,22,5,2579,10559,23
58,2,T,38,12,4,14203,549,10479
59,1,T,21,2,7,11491,0,15412
59,1,D,23,1,15,11041,0,268
59,1,D,25,1,9,13574,1125,0
59,1,S,9,16,7,4155,8716,378
59,1,S,2,25,7,240,12712,865
59,2,S,4,13,11,1712,10017,401
59,2,D,25,8,9,10727,286,982
59,2,T,20,3,7,14119,0,6721
59,2,S,10,21,4,2034,14057,277
59,2,D,28,9,8,9879,0,0
60,1,T,15,6,7,11094,480,6712
60,1,D,8,4,3,6458,0,3003
60,1,D,13,4,8,9257,75,0
60,1,S,14,7,7,4807,6770,502
60,1,S,6,9,7,3871,9352,2837
60,2,S,3,23,1,829,12903,444
60,2,D,20,0,7,8506,962,515
60,2,D,19,7,6,7450,530,0
60,2,S,6,16,3,3894,6718,529
60,2,T,18,8,5,8168,0,6165
61,1,T,14,1,10,10452,0,15832
61,1,D,12,3,7,8170,43,4032
61,1,D,12,5,8,6373,0,0
61,1,S,6,4,12,3700,7590,619
61,1,S,10,5,11,5481,10757,0
61,2,S,18,23,6,2522,11160,784
61,2,D,25,4,8,9127,671,0
61,2,T,31,5,4,12098,0,6520
61,2,D,29,8,6,9285,588,2837
61,2,S,14,16,3,2827,11005,0
62,1,T,13,1,8,7154,0,8747
62,1,D,9,3,5,5241,0,2618
62,1,D,8,0,9,4655,170,520
62,1,S,2,8,5,922,7296,752
62,1,S,4,7,6,1941,5836,175
62,2,T,19,8,1,6362,0,2908
62,2,D,19,4,4,5653,0,0
62,2,S,0,17,3,0,8225,0
62,2,D,22,4,5,7761,0,289
62,2,S,15,11,4,6041,5317,2605
63,1,T,3,2,3,4019,0,8887
63,1,D,1,0,3,2710,0,416
63,1,D,3,0,5,4534,1515,0
63,1,S,1,3,5,1045,3210,0
63,1,S,1,2,4,1100,4507,277
63,2,D,14,1,0,4485,266,0
63,2,S,7,2,2,1542,4245,152
63,2,D,7,0,0,3157,97,0
63,2,T,11,2,1,2821,2394,1180
63,2,S,11,6,1,3234,4037,0
64,1,T,13,5,6,9114,2300,3200
64,1,D,19,7,4,8581,32,2433
64,1,D,16,0,12,7797,0,249
64,1,S,8,13,8,2801,6970,6
64,1,S,12,8,6,4475,7487,940
64,2,D,15,9,7,6218,264,0
64,2,S,14,18,3,4162,10202,1629
64,2,T,20,1,7,10996,0,16819
64,2,D,14,1,7,6671,580,1890
64,2,S,8,15,5,1680,10465,923
65,1,T,9,1,7,6852,0,8410
65,1,D,3,1,5,4932,5,3204
65,1,D,10,1,8,6579,1047,0
65,1,S,2,10,6,1216,7646,0
65,1,S,2,6,4,1900,6071,430
65,2,D,8,2,5,5545,116,910
65,2,T,22,4,1,10427,2254,1367
65,2,S,10,11,1,2335,6097,790
65,2,D,18,1,2,8567,510,0
65,2,S,0,21,2,0,8240,0
66,1,T,8,1,7,7866,942,5071
