INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,RESULT
6,1,SUPPORT,11,10,11,5132,8685,273,LOSE
6,2,TANK,14,4,7,11500,0,13971,WIN
6,2,DAMAGE,26,4,6,11515,553,0,WIN
6,2,DAMAGE,23,3,7,10443,1333,2241,WIN
6,2,SUPPORT,16,23,5,4233,14085,23,WIN
6,2,SUPPORT,2,26,4,360,13072,0,WIN
7,1,TANK,17,5,8,11802,0,10874,LOSE
7,1,DAMAGE,17,0,11,9016,1,2206,LOSE
7,1,DAMAGE,10,3,8,4915,0,4,LOSE
7,1,SUPPORT,13,11,4,3634,12296,818,LOSE
7,1,SUPPORT,5,12,9,1343,13480,0,LOSE
7,2,TANK,20,7,5,8372,323,9132,WIN
7,2,DAMAGE,21,5,7,6539,640,0,WIN
7,2,DAMAGE,27,0,4,10808,0,3221,WIN
7,2,SUPPORT,9,17,6,2667,9168,146,WIN
7,2,SUPPORT,33,14,4,11104,9788,0,WIN
8,1,TANK,25,6,9,13542,0,17687,LOSE
8,1,DAMAGE,23,1,11,12234,143,161,LOSE
8,1,DAMAGE,24,0,12,10015,233,10,LOSE
8,1,SUPPORT,21,17,4,7175,11125,0,LOSE
8,1,SUPPORT,12,22,10,4690,11128,135,LOSE
8,2,TANK,22,6,7,10560,3004,6538,WIN
8,2,DAMAGE,23,6,9,10304,1544,2482,WIN
8,2,DAMAGE,21,1,15,11118,334,0,WIN
8,2,SUPPORT,22,21,8,9744,11502,0,WIN
8,2,SUPPORT,10,22,10,3491,14536,698,WIN
9,1,TANK,13,0,11,9761,0,16921,LOSE
,1,DAMAGE,23,0,12,7474,0,0,LOSE
,1,DAMAGE,25,2,7,16318,0,0,LOSE
,1,SUPPORT,18,18,3,5166,13493,0,LOSE
,1,SUPPORT,19,19,10,5423,11736,78,LOSE
,2,TANK,30,10,7,13119,2853,4799,WIN
,2,DAMAGE,20,1,11,9863,0,0,WIN
,2,DAMAGE,20,2,10,7226,721,1402,WIN
,2,SUPPORT,10,24,7,2440,11485,278,WIN
,2,SUPPORT,23,16,8,8370,12052,0,WIN
10,1,TANK,3,0,3,3404,0,8764,LOSE
,1,DAMAGE,5,0,6,2671,0,0,LOSE
,1,DAMAGE,1,0,8,3198,785,11,LOSE
,1,SUPPORT,2,4,0,1360,4569,0,LOSE
,1,SUPPORT,1,2,5,514,3709,0,LOSE
,2,TANK,15,3,1,4260,652,840,WIN
,2,DAMAGE,12,3,1,4068,190,0,WIN
,2,DAMAGE,15,1,1,5290,338,0,WIN
,2,SUPPORT,11,5,3,3214,2907,0,WIN
,2,SUPPORT,0,13,1,0,4409,0,WIN
11,1,TANK,22,4,7,11034,0,5647,LOSE
,1,DAMAGE,15,1,7,7287,1717,0,LOSE
,1,DAMAGE,13,0,12,7127,1428,0,LOSE
,1,SUPPORT,13,18,5,3735,10456,0,LOSE
,1,SUPPORT,6,7,8,2398,8349,613,LOSE
,2,TANK,24,5,3,10540,0,4457,WIN
,2,DAMAGE,20,1,8,9873,959,583,WIN
,2,DAMAGE,27,0,9,9350,0,134,WIN
,2,SUPPORT,9,9,7,3153,7969,0,WIN
,2,SUPPORT,13,21,5,3190,9880,0,WIN
12,1,TANK,10,1,8,8066,544,4371,LOSE
,1,DAMAGE,11,2,7,7606,892,0,LOSE
,1,DAMAGE,13,0,8,8888,4,3269,LOSE
,1,SUPPORT,4,8,4,1457,8559,0,LOSE
,1,SUPPORT,6,3,8,2879,4837,463,LOSE
,2,TANK,27,10,1,7409,1515,3335,WIN
,2,DAMAGE,24,0,6,6722,0,3461,WIN
,2,DAMAGE,21,2,7,7377,918,0,WIN
,2,SUPPORT,20,17,2,3375,8460,2250,WIN
,2,SUPPORT,6,21,4,1580,7473,452,WIN
13,1,TANK,4,0,5,3475,165,6043,LOSE
,1,DAMAGE,3,0,3,3854,365,13,LOSE
,1,DAMAGE,4,0,3,4754,0,86,LOSE
,1,SUPPORT,4,4,2,1209,5043,0,LOSE
,1,SUPPORT,1,4,4,573,3509,180,LOSE
,2,TANK,12,3,1,4535,0,8443,WIN
,2,DAMAGE,5,0,4,3156,165,83,WIN
,2,DAMAGE,9,0,0,4108,0,423,WIN
,2,SUPPORT,9,7,1,2688,5092,0,WIN
,2,SUPPORT,2,10,1,783,5886,129,WIN
14,1,TANK,15,2,8,9055,1643,5384,LOSE
,1,DAMAGE,13,1,6,10582,638,3564,LOSE
,1,DAMAGE,14,4,11,9754,0,91,LOSE
,1,SUPPORT,5,14,4,4361,8201,0,LOSE
,1,SUPPORT,0,15,6,380,10542,0,LOSE
,2,TANK,21,7,4,12387,2759,4257,WIN
,2,DAMAGE,19,2,5,7828,0,793,WIN
,2,DAMAGE,22,1,9,10883,0,0,WIN
,2,SUPPORT,1,21,4,1685,7274,0,WIN
,2,SUPPORT,3,13,3,2518,11644,632,WIN
15,1,TANK,27,13,2,12097,0,7906,LOSE
,1,DAMAGE,20,6,6,4732,614,658,LOSE
,1,DAMAGE,15,0,6,9738,269,197,LOSE
,1,SUPPORT,21,21,5,5162,6634,0,LOSE
,1,SUPPORT,9,19,6,1813,11730,853,LOSE
,2,TANK,6,0,5,3895,21,8922,WIN
,2,DAMAGE,13,0,9,9841,670,0,WIN
,2,DAMAGE,20,2,6,10020,0,0,WIN
,2,SUPPORT,2,16,6,783,12379,0,WIN
,2,SUPPORT,9,10,6,4016,10344,4666,WIN
16,1,TANK,23,6,8,6767,0,13706,LOSE
,1,DAMAGE,17,3,11,9450,1144,0,LOSE
,1,DAMAGE,13,0,12,8674,150,1061,LOSE
,1,SUPPORT,9,17,10,4254,10895,3031,LOSE
,1,SUPPORT,9,18,7,3236,13590,480,LOSE
,2,TANK,27,6,2,17860,0,14613,WIN
,2,DAMAGE,27,0,10,9288,0,1030,WIN
,2,DAMAGE,25,0,8,10367,1209,0,WIN
,2,SUPPORT,5,22,7,1814,7266,130,WIN
,2,SUPPORT,12,11,4,4483,11544,1183,WIN
17,1,TANK,2,0,3,3888,0,7052,LOSE
,1,DAMAGE,5,1,11,5264,0,2110,LOSE
,1,DAMAGE,8,2,10,5409,127,0,LOSE
,1,SUPPORT,1,0,9,1912,6109,0,LOSE
,1,SUPPORT,0,3,9,720,6694,0,LOSE
,2,TANK,23,2,1,9591,0,6869,WIN
,2,DAMAGE,18,8,3,7593,0,0,WIN
,2,DAMAGE,24,0,1,6944,0,0,WIN
,2,SUPPORT,7,10,2,2832,4652,58,WIN
,2,SUPPORT,0,22,1,0,8619,0,WIN
18,1,TANK,22,4,8,10373,0,9678,LOSE
,1,DAMAGE,21,3,13,16193,1229,474,LOSE
,1,DAMAGE,19,2,13,11097,0,888,LOSE
,1,SUPPORT,1,15,11,2265,13746,236,LOSE
,1,SUPPORT,7,16,12,2913,11933,328,LOSE
,2,TANK,43,4,8,16324,3248,3774,WIN
,2,DAMAGE,22,10,8,12413,863,2555,WIN
,2,DAMAGE,26,18,9,8179,1468,0,WIN
,2,SUPPORT,25,16,5,6158,12410,0,WIN
,2,SUPPORT,13,24,4,3911,9558,798,WIN
19,1,TANK,19,5,3,6693,0,13654,LOSE
,1,DAMAGE,17,0,6,7139,0,92,LOSE
,1,DAMAGE,18,0,5,11299,0,0,LOSE
,1,SUPPORT,2,21,0,250,9945,403,LOSE
,1,SUPPORT,11,17,3,2840,8878,61,LOSE
,2,TANK,8,3,6,5869,0,2888,WIN
,2,DAMAGE,7,0,7,6471,151,137,WIN
,2,DAMAGE,7,0,8,7759,1389,0,WIN
,2,SUPPORT,3,7,4,1734,7456,228,WIN
,2,SUPPORT,11,9,3,4170,9202,4984,WIN
20,1,TANK,6,1,5,3686,0,4235,LOSE
,1,DAMAGE,2,0,4,4112,0,0,LOSE
,1,DAMAGE,4,1,3,2672,1114,0,LOSE
,1,SUPPORT,0,0,5,1160,2553,353,LOSE
,1,SUPPORT,1,1,4,996,3762,132,LOSE
,2,TANK,11,1,1,3245,0,6411,WIN
,2,DAMAGE,11,0,0,5210,0,0,WIN
,2,DAMAGE,8,0,2,5020,0,99,WIN
,2,SUPPORT,0,4,3,643,4182,18,WIN
,2,SUPPORT,1,10,1,729,6626,0,WIN
21,1,TANK,30,6,6,11403,0,16452,LOSE
,1,DAMAGE,20,3,8,6221,840,0,LOSE
,1,DAMAGE,31,0,10,15196,0,208,LOSE
,1,SUPPORT,5,27,9,2617,12801,0,LOSE
,1,SUPPORT,14,23,8,3678,15469,537,LOSE
,2,TANK,19,4,10,12751,0,11415,WIN
,2,DAMAGE,20,1,10,11706,1483,0,WIN
,2,DAMAGE,22,1,13,10877,285,6265,WIN
,2,SUPPORT,12,15,8,5251,10988,2441,WIN
,2,SUPPORT,6,14,7,3713,7995,22,WIN
22,1,TANK,24,11,3,14550,0,22288,LOSE
,1,DAMAGE,21,0,9,11612,128,3629,LOSE
,1,DAMAGE,19,8,14,10031,0,1,LOSE
,1,SUPPORT,8,22,6,3132,20785,1325,LOSE
,1,SUPPORT,14,15,7,5107,19661,0,LOSE
,2,TANK,27,5,6,16122,0,28366,WIN
,2,DAMAGE,25,0,9,15110,898,0,WIN
,2,DAMAGE,23,0,14,17166,437,109,WIN
,2,SUPPORT,4,19,7,917,13439,314,WIN
,2,SUPPORT,8,21,7,3429,13234,683,WIN
23,1,TANK,44,12,10,14023,0,27746,LOSE
,1,DAMAGE,28,9,20,14388,1578,2767,LOSE
,1,DAMAGE,25,2,20,15628,388,50,LOSE
,1,SUPPORT,24,27,12,8787,16270,426,LOSE
,1,SUPPORT,6,32,9,774,23237,119,LOSE
,2,TANK,44,13,12,18211,0,18686,WIN
,2,DAMAGE,36,2,14,18427,1354,1805,WIN
,2,DAMAGE,30,5,9,14313,530,1930,WIN
,2,SUPPORT,24,30,12,7153,14337,639,WIN
,2,SUPPORT,19,45,13,8544,12192,0,WIN
24,1,TANK,16,5,5,12428,0,16931,LOSE
,1,DAMAGE,3,0,15,5325,0,1003,LOSE
,1,DAMAGE,11,0,16,5314,226,394,LOSE
,1,SUPPORT,14,7,7,8298,9501,0,LOSE
,1,SUPPORT,5,12,8,1827,19761,1942,LOSE
,2,TANK,30,4,2,19029,1523,16433,WIN
,2,DAMAGE,18,7,10,7795,0,0,WIN
,2,DAMAGE,25,1,9,14217,0,0,WIN
,2,SUPPORT,11,22,4,2874,10912,83,WIN
,2,SUPPORT,11,17,4,2573,10231,0,WIN
25,1,TANK,42,16,14,20651,0,27415,LOSE
,1,DAMAGE,29,4,19,18009,923,1816,LOSE
,1,DAMAGE,28,1,21,18523,0,3374,LOSE
,1,SUPPORT,18,33,9,6181,27756,1597,LOSE
,1,SUPPORT,5,21,13,3717,24126,2298,LOSE
,2,TANK,41,16,14,24682,0,25529,WIN
,2,DAMAGE,45,12,11,19804,2748,0,WIN
,2,DAMAGE,47,0,16,26666,2566,142,WIN
,2,SUPPORT,19,44,9,6281,24081,0,WIN
,2,SUPPORT,31,28,8,9749,14991,592,WIN
26,1,TANK,24,5,1,8788,0,6522,LOSE
,1,DAMAGE,17,5,8,7584,0,0,LOSE
,1,DAMAGE,17,1,7,10389,0,0,LOSE
,1,SUPPORT,11,20,10,4010,6836,0,LOSE
,1,SUPPORT,3,17,5,1339,10644,0,LOSE
,2,TANK,20,0,6,10414,450,10964,WIN
,2,DAMAGE,16,0,7,8002,0,719,WIN
,2,DAMAGE,12,5,3,5520,936,638,WIN
,2,SUPPORT,1,8,8,987,8458,1165,WIN
,2,SUPPORT,7,14,6,1682,8355,4337,WIN
27,1,TANK,5,2,1,4125,0,5487,LOSE
,1,DAMAGE,6,0,7,6059,128,37,LOSE
,1,DAMAGE,4,1,7,3414,0,795,LOSE
,1,SUPPORT,1,5,6,451,7938,544,LOSE
,1,SUPPORT,0,7,6,20,3915,0,LOSE
,2,TANK,11,1,2,4867,0,5332,WIN
,2,DAMAGE,10,0,2,5907,0,0,WIN
,2,DAMAGE,12,4,1,6787,0,0,WIN
,2,SUPPORT,0,12,1,0,4032,0,WIN
,2,SUPPORT,8,7,2,2463,6088,1666,WIN
28,1,TANK,8,2,4,3444,0,7097,LOSE
,1,DAMAGE,6,0,6,4707,304,0,LOSE
,1,DAMAGE,7,2,8,3379,0,0,LOSE
,1,SUPPORT,5,6,5,1620,4705,0,LOSE
,1,SUPPORT,3,7,4,1046,5762,383,LOSE
,2,TANK,15,2,1,7305,0,12811,WIN
,2,DAMAGE,6,0,2,3772,80,300,WIN
,2,DAMAGE,12,2,4,5358,0,0,WIN
,2,SUPPORT,10,1,4,4148,3493,0,WIN
,2,SUPPORT,5,9,2,695,4869,255,WIN
29,1,TANK,3,15,5,14669,0,19043,LOSE
,1,DAMAGE,27,7,9,18579,1027,568,LOSE
,1,DAMAGE,33,5,7,20911,1273,100,LOSE
,1,SUPPORT,12,22,6,4532,15005,393,LOSE
,1,SUPPORT,4,33,4,662,20610,0,LOSE
,2,TANK,22,2,7,19499,903,26155,WIN
,2,DAMAGE,12,2,14,12824,536,201,WIN
,2,DAMAGE,15,0,11,15056,441,1463,WIN
,2,SUPPORT,5,22,7,1098,21631,494,WIN
,2,SUPPORT,6,19,6,5133,17555,301,WIN
30,1,TANK,24,9,5,9021,0,10517,LOSE
,1,DAMAGE,17,0,11,7114,0,406,LOSE
,1,DAMAGE,19,9,8,5749,1336,1266,LOSE
,1,SUPPORT,7,17,11,1260,8133,237,LOSE
,1,SUPPORT,9,17,10,1862,8773,113,LOSE
,2,TANK,22,4,6,9017,0,4921,WIN
,2,DAMAGE,24,2,8,8451,89,449,WIN
,2,DAMAGE,14,2,5,7565,110,0,WIN
,2,SUPPORT,11,11,4,3710,6270,0,WIN
,2,SUPPORT,19,11,8,5082,5987,20,WIN
31,1,TANK,23,8,9,13588,577,17304,LOSE
,1,DAMAGE,23,1,13,14478,1159,0,LOSE
,1,DAMAGE,19,1,14,10699,81,697,LOSE
,1,SUPPORT,9,22,5,4709,13631,0,LOSE
,1,SUPPORT,11,16,10,6817,12235,38,LOSE
,2,TANK,26,5,4,13739,0,4893,WIN
,2,DAMAGE,22,5,7,12443,0,4117,WIN
,2,DAMAGE,29,5,11,12619,0,1442,WIN
,2,SUPPORT,11,16,9,3438,14106,919,WIN
,2,SUPPORT,13,19,10,3400,12737,0,WIN
32,1,TANK,31,3,10,12006,227,16959,LOSE
,1,DAMAGE,28,2,5,11437,0,0,LOSE
,1,DAMAGE,25,5,11,14180,96,488,LOSE
,1,SUPPORT,11,24,9,3316,11446,469,LOSE
,1,SUPPORT,14,34,5,3819,13468,1947,LOSE
,2,TANK,17,4,12,9557,471,16111,WIN
,2,DAMAGE,28,0,9,12360,130,1049,WIN
,2,DAMAGE,14,0,9,9301,1337,0,WIN
,2,SUPPORT,14,23,6,4888,11822,803,WIN
,2,SUPPORT,12,16,11,4950,11473,155,WIN
33,1,TANK,25,2,8,12573,0,7913,LOSE
,1,DAMAGE,25,4,4,15046,0,0,LOSE
,1,DAMAGE,25,0,12,8952,0,508,LOSE
,1,SUPPORT,5,22,6,347,15126,0,LOSE
,1,SUPPORT,7,14,7,4076,11159,796,LOSE
,2,TANK,21,11,9,8431,893,12495,WIN
,2,DAMAGE,23,3,10,9625,0,2442,WIN
,2,DAMAGE,18,3,8,8824,1310,0,WIN
,2,SUPPORT,16,10,7,9468,11523,0,WIN
,2,SUPPORT,10,15,9,3462,9329,872,WIN
34,1,TANK,41,5,11,21439,0,16011,LOSE
,1,DAMAGE,40,7,5,17461,0,0,LOSE
,1,DAMAGE,28,12,13,13681,0,0,LOSE
,1,SUPPORT,2,42,6,420,20713,0,LOSE
,1,SUPPORT,16,28,7,5419,20404,2572,LOSE
,2,TANK,23,4,9,16983,311,23884,WIN
,2,DAMAGE,21,4,9,13968,949,291,WIN
,2,DAMAGE,20,4,15,11371,1213,2312,WIN
,2,SUPPORT,13,21,13,2751,19898,756,WIN
,2,SUPPORT,17,22,12,11278,14826,92,WIN
35,1,TANK,23,7,10,15259,0,13527,LOSE
,1,DAMAGE,25,1,13,9826,285,55,LOSE
,1,DAMAGE,31,5,8,12041,179,0,LOSE
,1,SUPPORT,12,25,4,5057,12697,0,LOSE
,1,SUPPORT,24,20,6,8733,13903,0,LOSE
,2,TANK,24,4,6,13289,82,17859,WIN
,2,DAMAGE,18,0,14,9755,0,232,WIN
,2,DAMAGE,24,1,13,14930,0,0,WIN
,2,SUPPORT,13,13,11,3618,15470,830,WIN
,2,SUPPORT,9,25,10,2557,17752,0,WIN
36,1,TANK,15,5,8,8346,0,7000,LOSE
,1,DAMAGE,13,1,5,6407,0,0,LOSE
,1,DAMAGE,6,0,6,5328,720,566,LOSE
,1,SUPPORT,4,13,6,774,7507,0,LOSE
,1,SUPPORT,4,10,7,1556,4288,523,LOSE
,2,TANK,18,5,3,6331,0,16036,WIN
,2,DAMAGE,19,3,1,6803,0,0,WIN
,2,DAMAGE,14,0,8,8406,0,236,WIN
,2,SUPPORT,2,17,3,490,9275,0,WIN
,2,SUPPORT,11,11,4,3338,5576,0,WIN
37,1,TANK,16,3,4,8370,0,6116,LOSE
,1,DAMAGE,13,0,6,7834,0,0,LOSE
,1,DAMAGE,12,2,7,7597,1075,103,LOSE
,1,SUPPORT,7,7,9,3457,7132,0,LOSE
,1,SUPPORT,1,10,7,419,6895,11,LOSE
,2,TANK,16,3,3,5664,0,19044,WIN
,2,DAMAGE,19,0,4,9054,1111,0,WIN
,2,DAMAGE,17,1,6,8756,1110,133,WIN
,2,SUPPORT,10,14,7,5064,7358,0,WIN
,2,SUPPORT,2,6,7,1730,10311,82,WIN
38,1,TANK,3,0,2,3459,0,8868,LOSE
,1,DAMAGE,7,1,3,5936,0,0,LOSE
,1,DAMAGE,6,1,6,6102,741,0,LOSE
,1,SUPPORT,0,6,2,127,6668,0,LOSE
,1,SUPPORT,2,0,6,2810,4032,193,LOSE
,2,TANK,14,2,3,4362,0,2488,WIN
,2,DAMAGE,12,0,2,3333,263,1949,WIN
,2,DAMAGE,12,0,0,5404,0,1738,WIN
,2,SUPPORT,7,10,2,2408,6906,0,WIN
,2,SUPPORT,3,12,2,952,5465,23,WIN
39,1,TANK,2,0,7,2575,0,4111,LOSE
