INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,RESULT
1,1,TANK,7,2,2,7838,4541,1318,WIN
1,1,DAMAGE,11,0,4,9162,0,570,WIN
1,1,DAMAGE,17,0,4,9152,0,2287,WIN
1,1,SUPPORT,6,9,1,2997,5168,0,WIN
1,1,SUPPORT,2,13,1,166,9094,330,WIN
1,2,TANK,5,0,4,7117,0,7275,LOSE
1,2,DAMAGE,6,1,5,7834,0,0,LOSE
1,2,DAMAGE,7,1,6,7008,0,0,LOSE
1,2,SUPPORT,3,4,5,2296,7720,446,LOSE
1,2,SUPPORT,0,4,3,184,12097,472,LOSE
2,1,TANK,42,17,1,11254,0,10868,WIN
2,1,DAMAGE,32,2,6,11930,1129,2,WIN
2,1,DAMAGE,28,0,5,11203,0,2110,WIN
2,1,SUPPORT,16,30,1,3216,12866,0,WIN
2,1,SUPPORT,17,30,4,4372,16262,502,WIN
2,2,TANK,11,4,11,12419,1191,10808,LOSE
2,2,DAMAGE,10,1,13,10182,0,0,LOSE
2,2,DAMAGE,6,1,13,10872,0,2256,LOSE
2,2,SUPPORT,2,10,10,2776,10855,0,LOSE
2,2,SUPPORT,1,9,11,904,9891,32,LOSE
3,1,TANK,32,2,1,9868,142,8620,WIN
3,1,DAMAGE,17,0,7,5718,0,25,WIN
3,1,DAMAGE,19,4,8,6805,0,225,WIN
3,1,SUPPORT,17,22,1,2824,7293,0,WIN
3,1,SUPPORT,19,15,5,3629,6761,117,WIN
3,2,TANK,8,1,8,7359,0,9748,LOSE
3,2,DAMAGE,15,4,7,5118,977,0,LOSE
3,2,DAMAGE,12,0,11,7181,801,45,LOSE
3,2,SUPPORT,8,10,6,1721,8127,625,LOSE
3,2,SUPPORT,3,6,7,1340,7949,502,LOSE
4,1,TANK,40,15,10,17182,0,16086,WIN
4,1,DAMAGE,30,9,14,15546,41,0,WIN
4,1,DAMAGE,42,17,12,18646,1878,6070,WIN
4,1,SUPPORT,27,27,8,6698,14782,0,WIN
4,1,SUPPORT,11,37,15,2248,23763,243,WIN
4,2,TANK,27,5,13,16786,0,24252,LOSE
4,2,DAMAGE,29,5,18,15371,610,1298,LOSE
4,2,DAMAGE,38,3,11,16683,1371,1603,LOSE
4,2,SUPPORT,21,21,8,6375,15248,105,LOSE
4,2,SUPPORT,11,26,11,5910,18825,469,LOSE
5,1,TANK,28,7,1,10429,2109,2839,WIN
5,1,DAMAGE,34,1,9,10209,0,324,WIN
5,1,DAMAGE,22,5,7,7865,0,50,WIN
5,1,SUPPORT,15,19,0,3362,7017,0,WIN
5,1,SUPPORT,13,18,3,3412,6986,14,WIN
5,2,TANK,5,1,11,5346,851,7212,LOSE
5,2,DAMAGE,9,6,8,5901,145,110,LOSE
5,2,DAMAGE,14,0,12,10562,164,0,LOSE
5,2,SUPPORT,2,11,8,2048,10177,0,LOSE
5,2,SUPPORT,4,5,13,2515,6082,403,LOSE
6,1,TANK,37,8,9,11025,0,7310,WIN
6,1,DAMAGE,50,5,3,15751,962,0,WIN
6,1,DAMAGE,42,0,5,12676,0,2904,WIN
6,1,SUPPORT,19,32,3,5078,9556,0,WIN
6,1,SUPPORT,7,34,1,1319,15575,571,WIN
6,2,TANK,16,3,10,14013,0,8151,LOSE
6,2,DAMAGE,15,7,11,6730,0,164,LOSE
6,2,DAMAGE,16,0,15,10940,50,111,LOSE
6,2,SUPPORT,12,14,13,4214,11467,5608,LOSE
6,2,SUPPORT,3,8,13,1956,11157,0,LOSE
7,1,TANK,25,6,4,11922,2907,3168,WIN
7,1,DAMAGE,18,2,8,9350,1455,0,WIN
7,1,DAMAGE,9,0,9,7884,345,207,WIN
7,1,SUPPORT,14,15,1,3743,6852,0,WIN
7,1,SUPPORT,14,12,5,3101,6437,419,WIN
7,2,TANK,14,2,8,9767,1922,8941,LOSE
7,2,DAMAGE,12,1,9,6455,1781,0,LOSE
7,2,DAMAGE,12,0,7,6362,0,1184,LOSE
7,2,SUPPORT,8,13,10,3900,6842,1791,LOSE
7,2,SUPPORT,7,14,5,1881,11357,1253,LOSE
8,1,TANK,15,1,3,5285,0,3098,WIN
8,1,DAMAGE,15,1,5,4025,422,806,WIN
8,1,DAMAGE,9,1,3,4133,0,395,WIN
