I,T,RO,E,A,DE,DA,H,M,RE
13,1,T,20,8,10,11635,786,7425,D
13,1,D,24,3,9,13308,1270,5387,D
13,1,D,27,3,11,10628,1277,0,D
13,1,S,16,16,6,4908,12397,583,D
13,1,S,13,29,9,3466,14096,0,D
13,2,T,23,6,11,12262,158,7393,V
13,2,T,22,21,8,10107,5340,5349,V
13,2,D,34,3,10,18802,890,4843,V
13,2,D,24,4,8,11740,23,10381,V
13,2,S,18,22,5,6331,12914,526,V
13,2,S,18,16,12,7915,4695,2440,V
14,1,D,16,3,8,12703,4012,749,D
14,1,D,19,3,11,14094,0,0,D
14,1,D,7,1,11,6534,0,8502,D
14,1,S,8,6,3,10638,3898,5914,D
14,1,S,11,10,13,7187,8458,0,D
14,1,S,10,8,8,6107,7955,1732,D
14,2,T,22,4,6,7661,909,5415,V
14,2,T,22,4,4,9992,621,12209,V
14,2,D,10,15,4,4657,7828,4,V
14,2,D,31,1,5,15617,2381,0,V
14,2,S,9,17,3,2723,14486,800,V
14,2,S,19,10,13,8391,4663,0,V
15,1,T,27,12,13,14817,0,12589,D
15,1,T,27,4,11,15441,0,19942,D
15,1,D,29,0,12,14716,0,290,D
15,1,D,18,14,15,9974,6656,1040,D
15,1,S,16,25,10,8586,17727,0,D
15,1,S,21,26,9,5638,21208,3311,D
15,2,T,37,7,13,16323,1107,15580,V
15,2,T,41,9,8,23436,5,7061,V
15,2,D,27,4,12,11909,459,13369,V
15,2,D,31,8,14,18562,0,0,V
15,2,S,23,35,4,4135,20017,2674,V
15,2,S,41,48,5,9312,17849,0,V
16,1,T,11,2,9,10395,6768,1295,D
16,1,T,14,2,8,11746,0,10082,D
16,1,D,4,2,10,9783,88,20,D
16,1,D,11,3,13,9994,470,5118,D
16,1,S,7,5,8,9956,7537,0,D
16,1,S,8,6,10,4665,11866,0,D
16,2,T,33,5,6,13807,0,13093,V
16,2,T,30,14,2,8754,178,8063,V
16,2,D,13,3,3,9363,2701,4487,V
16,2,S,17,14,5,5599,7465,747,V
16,2,S,40,13,6,10320,7494,0,V
16,2,S,26,32,3,7255,15447,0,V
17,1,T,22,9,10,8409,6296,8262,D
17,1,T,19,3,15,9132,23,8794,D
17,1,D,24,0,5,12035,0,0,D
17,1,D,19,1,12,12362,0,1131,D
17,1,S,19,10,14,11894,5910,5351,D
17,1,S,11,22,11,3976,16210,0,D
17,2,T,33,7,10,12570,0,9662,V
17,2,T,33,17,5,14103,0,15137,V
17,2,D,44,1,7,17223,2117,0,V
17,2,D,37,1,10,13537,0,0,V
17,2,S,23,27,7,5385,15694,310,V
17,2,S,9,38,5,2428,14993,0,V
18,1,T,11,3,11,6613,0,16457,D
18,1,T,15,2,11,10204,0,5392,D
18,1,D,5,1,6,10363,0,11232,D
18,1,D,20,6,9,12051,801,394,D
18,1,S,4,20,9,1617,15971,0,D
18,1,S,9,13,6,3939,12758,879,D
18,2,T,20,8,8,8837,0,11089,V
18,2,T,28,12,4,13058,0,9695,V
18,2,D,29,1,2,12415,2150,0,V
18,2,D,30,0,6,10188,0,808,V
18,2,S,15,30,6,4300,8778,74,V
18,2,S,31,34,2,8601,17210,0,V
19,1,T,10,1,4,4608,115,2550,D
19,1,T,9,4,7,6101,659,1835,D
19,1,D,7,2,6,5038,388,1571,D
19,1,D,6,4,7,4907,437,0,D
19,1,S,5,5,5,2474,4543,0,D
19,1,S,6,6,4,2959,4351,104,D
19,2,T,10,1,3,3142,0,9201,V
19,2,T,18,3,5,4601,385,1673,V
19,2,D,19,0,3,7960,622,0,V
19,2,D,19,0,2,6037,1004,0,V
19,2,S,8,13,3,1716,6588,362,V
19,2,S,14,8,2,3031,7017,110,V
