I,T,RO,E,A,DE,DA,H,M,RE
13,1,T,42,13,7,12378,279,8679,V
13,1,T,25,14,11,10358,0,5159,V
13,1,D,50,0,13,17666,182,5847,V
13,1,D,25,13,14,11702,1290,0,V
13,1,S,15,36,7,4809,13346,1050,V
13,1,S,30,40,5,9259,12756,412,V
13,2,T,24,2,10,15448,0,20169,D
13,2,T,25,11,14,13831,3569,3625,D
13,2,D,29,1,17,11786,102,2371,D
13,2,D,23,8,11,10639,8594,0,D
13,2,S,15,11,16,4605,7469,2404,D
13,2,S,19,16,10,6777,7072,3066,D
